     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.031,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":3,""detectors_checked"":61}"
         1,         0,         0,   0.015,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detectors_checked"":61}"
       272,         0,         0,   0.016,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":194,""detectors_checked"":16592}"
       273,         3,         0,   0.016,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":280,""detectors_checked"":16653}"
      1296,         6,         0,   0.078,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":1070,""detectors_checked"":79056}"
         1,         0,         0,   0.016,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":3,""detectors_checked"":61}"
      1024,         1,         0,   0.078,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":801,""detectors_checked"":62464}"
       272,         3,         0,   0.016,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":244,""detectors_checked"":16592}"
      1024,         3,         0,   0.047,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":849,""detectors_checked"":62464}"
      1024,         2,         0,   0.062,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":779,""detectors_checked"":62464}"
       179,         2,         0,   0.000,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":155,""detectors_checked"":10919}"
      1024,         5,         0,   0.047,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":851,""detectors_checked"":62464}"
       135,         0,         0,   0.000,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":71,""detectors_checked"":8235}"
        44,         1,         0,   0.000,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":33,""detectors_checked"":2684}"
      1024,         5,         0,   0.062,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":772,""detectors_checked"":62464}"
      1024,         5,         0,   0.047,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":742,""detectors_checked"":62464}"
       135,         1,         0,   0.016,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":97,""detectors_checked"":8235}"
        44,         0,         0,   0.000,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":28,""detectors_checked"":2684}"
       135,         0,         0,   0.016,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":107,""detectors_checked"":8235}"
       466,         1,         0,   0.016,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":353,""detectors_checked"":28426}"
       602,         0,         0,   0.031,mwpf,832b2f6bbca5cb08cfb04b6882434c19047fa047cb4110c1a2aa41faa5ba9e77,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":444,""detectors_checked"":36722}"
        17,         0,         0,   0.000,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":22,""detectors_checked"":1887}"
        17,         0,         0,   0.000,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":28,""detectors_checked"":1887}"
       256,         0,         0,   0.015,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":379,""detectors_checked"":28416}"
       256,         0,         0,   0.016,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":335,""detectors_checked"":28416}"
       273,         0,         0,   0.015,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":417,""detectors_checked"":30303}"
        17,         0,         0,   0.016,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":28,""detectors_checked"":1887}"
      1024,         1,         0,   0.062,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":1474,""detectors_checked"":113664}"
      1024,         0,         0,   0.078,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":1535,""detectors_checked"":113664}"
       256,         0,         0,   0.031,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":422,""detectors_checked"":28416}"
      1024,         0,         0,   0.063,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":1450,""detectors_checked"":113664}"
      1024,         0,         0,   0.063,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":1591,""detectors_checked"":113664}"
      1024,         0,         0,   0.063,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":1569,""detectors_checked"":113664}"
       179,         0,         0,   0.016,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":288,""detectors_checked"":19869}"
       179,         0,         0,   0.016,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":255,""detectors_checked"":19869}"
      1024,         0,         0,   0.047,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":1545,""detectors_checked"":113664}"
       179,         0,         0,   0.000,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":299,""detectors_checked"":19869}"
      1024,         0,         0,   0.094,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":1630,""detectors_checked"":113664}"
       301,         0,         0,   0.016,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":416,""detectors_checked"":33411}"
       300,         1,         0,   0.016,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":408,""detectors_checked"":33300}"
       301,         0,         0,   0.016,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":438,""detectors_checked"":33411}"
       301,         0,         0,   0.032,mwpf,06cd816c8ea053042bee80dada7793256d39427afbc514adbc5411e71b322d80,"{""d"":5,""p"":0.01,""r"":1}","{""detection_events"":489,""detectors_checked"":33411}"
       273,         0,         0,   0.016,mwpf,1c869043f582df538a0ef43cb9d4780936fc5c914ce81d7975620ef6115cee7f,"{""d"":7,""p"":0.01,""r"":1}","{""detection_events"":705,""detectors_checked"":43953}"
       273,         0,         0,   0.031,mwpf,1c869043f582df538a0ef43cb9d4780936fc5c914ce81d7975620ef6115cee7f,"{""d"":7,""p"":0.01,""r"":1}","{""detection_events"":627,""detectors_checked"":43953}"
         1,         0,         0,   0.016,mwpf,1c869043f582df538a0ef43cb9d4780936fc5c914ce81d7975620ef6115cee7f,"{""d"":7,""p"":0.01,""r"":1}","{""detection_events"":5,""detectors_checked"":161}"
         1,         0,         0,   0.016,mwpf,1c869043f582df538a0ef43cb9d4780936fc5c914ce81d7975620ef6115cee7f,"{""d"":7,""p"":0.01,""r"":1}","{""detection_events"":5,""detectors_checked"":161}"
       272,         0,         0,   0.016,mwpf,1c869043f582df538a0ef43cb9d4780936fc5c914ce81d7975620ef6115cee7f,"{""d"":7,""p"":0.01,""r"":1}","{""detection_events"":595,""detectors_checked"":43792}"
      1024,         0,         0,   0.109,mwpf,1c869043f582df538a0ef43cb9d4780936fc5c914ce81d7975620ef6115cee7f,"{""d"":7,""p"":0.01,""r"":1}","{""detection_events"":2332,""detectors_checked"":164864}"
       272,         0,         0,   0.062,mwpf,1c869043f582df538a0ef43cb9d4780936fc5c914ce81d7975620ef6115cee7f,"{""d"":7,""p"":0.01,""r"":1}","{""detection_events"":623,""detectors_checked"":43792}"
      1024,         0,         0,   0.109,mwpf,1c869043f582df538a0ef43cb9d4780936fc5c914ce81d7975620ef6115cee7f,"{""d"":7,""p"":0.01,""r"":1}","{""detection_events"":2294,""detectors_checked"":164864}"
      1024,         0,         0,   0.125,mwpf,1c869043f582df538a0ef43cb9d4780936fc5c914ce81d7975620ef6115cee7f,"{""d"":7,""p"":0.01,""r"":1}","{""detection_events"":2153,""detectors_checked"":164864}"
      1024,         0,         0,   0.078,mwpf,1c869043f582df538a0ef43cb9d4780936fc5c914ce81d7975620ef6115cee7f,"{""d"":7,""p"":0.01,""r"":1}","{""detection_events"":2281,""detectors_checked"":164864}"
       179,         0,         0,   0.000,mwpf,1c869043f582df538a0ef43cb9d4780936fc5c914ce81d7975620ef6115cee7f,"{""d"":7,""p"":0.01,""r"":1}","{""detection_events"":381,""detectors_checked"":28819}"
      1024,         0,         0,   0.094,mwpf,1c869043f582df538a0ef43cb9d4780936fc5c914ce81d7975620ef6115cee7f,"{""d"":7,""p"":0.01,""r"":1}","{""detection_events"":2242,""detectors_checked"":164864}"
       135,         0,         0,   0.016,mwpf,1c869043f582df538a0ef43cb9d4780936fc5c914ce81d7975620ef6115cee7f,"{""d"":7,""p"":0.01,""r"":1}","{""detection_events"":294,""detectors_checked"":21735}"
       165,         0,         0,   0.015,mwpf,1c869043f582df538a0ef43cb9d4780936fc5c914ce81d7975620ef6115cee7f,"{""d"":7,""p"":0.01,""r"":1}","{""detection_events"":412,""detectors_checked"":26565}"
