     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       273,         2,         0,   0.016,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":212,""detectors_checked"":16653}"
       273,         0,         0,   0.016,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":232,""detectors_checked"":16653}"
       273,         0,         0,   0.015,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":202,""detectors_checked"":16653}"
      1024,         3,         0,   0.015,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":709,""detectors_checked"":62464}"
      1024,         1,         0,   0.015,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":755,""detectors_checked"":62464}"
       273,         2,         0,   0.031,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":197,""detectors_checked"":16653}"
      1024,         4,         0,   0.032,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":820,""detectors_checked"":62464}"
      1203,         4,         0,   0.032,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":831,""detectors_checked"":73383}"
      1024,         4,         0,   0.032,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":787,""detectors_checked"":62464}"
       135,         0,         0,   0.000,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":103,""detectors_checked"":8235}"
       179,         1,         0,   0.000,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":132,""detectors_checked"":10919}"
      1024,         7,         0,   0.047,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":760,""detectors_checked"":62464}"
       165,         0,         0,   0.015,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":123,""detectors_checked"":10065}"
        67,         0,         0,   0.000,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":62,""detectors_checked"":4087}"
       135,         0,         0,   0.000,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":86,""detectors_checked"":8235}"
        58,         0,         0,   0.000,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":40,""detectors_checked"":3538}"
       375,         3,         0,   0.016,mwpf,c7a34b82deadefe5939fa817fa74ee5c19abc8ff78b2284b459b941e6286fa24,"{""d"":3,""p"":0.01,""r"":1}","{""detection_events"":269,""detectors_checked"":22875}"
