     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.015,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
        16,        11,         0,   0.063,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
         1,         1,         0,   0.015,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
        16,         8,         0,   0.047,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
       128,        55,         0,   0.422,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
        17,         4,         0,   0.063,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
         1,         1,         0,   0.015,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
        16,         9,         0,   0.063,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
         1,         0,         0,   0.016,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
        55,        33,         0,   0.203,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
       128,        73,         0,   0.438,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
        16,        14,         0,   0.047,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
        22,        12,         0,   0.078,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
        33,        16,         0,   0.110,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
        49,        23,         0,   0.172,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
       128,        64,         0,   0.437,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
       128,        80,         0,   0.437,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
        22,        10,         0,   0.078,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
        33,        16,         0,   0.110,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
        22,        15,         0,   0.079,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
       128,        69,         0,   0.437,mwpf,42da43c39cbc7903183c6a53ffefa14e4b4de94032c79156c33b0f1643071669,"{""cluster"":10,""d"":3,""p"":0.15}",
