     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     10000,         2,         0,    1.87,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
     10000,         6,         0,    3.46,mwpf,967a2e377fcec88b63cb50e99b2b533f343a475c5011bdba6052be3426523e2e,"{""d"":3,""p"":0.0038805107322101838}",
     10000,        21,         0,    6.34,mwpf,0576d176091109ef583200c228b12815153ef5b3fc753b4ebce3cc8cc09d1b3e,"{""d"":3,""p"":0.005994842503189409}",
     10000,        64,         0,    8.76,mwpf,1e6625f48e3ec11053e30178fd6b1e43419e1169411698157e89287482075eaf,"{""d"":3,""p"":0.009261187281287938}",
     10000,       206,         0,    12.5,mwpf,3dc53a2a9a31ad7daf5eb7fdeb47cc1e0cd286466dcd5b689b6b27f4794898f6,"{""d"":3,""p"":0.014307229891937572}",
     10000,       779,         0,    35.5,mwpf,1a271e5ed3380d3deeb2ef684467d1f8bfdb5a65a6b438a8fd784c30ac7d8d56,"{""d"":3,""p"":0.022102654979706378}",
     10000,      2222,         0,    29.5,mwpf,47fbc4da0dd06c3366685fc08b9378e465bbb1252740e53499b01d7f06c1adc4,"{""d"":3,""p"":0.034145488738336026}",
     10000,      4348,         0,    41.3,mwpf,65033625d3e55f9e7ffe7a20fdaa9d03710ee8a78a06af08c1e25eeab950fdb5,"{""d"":3,""p"":0.052749970637026196}",
     10000,      5012,         0,    84.1,mwpf,cfbea3e53798fd8e9cb5814669cf9a475bbdedf44860a07326946c6908c97527,"{""d"":3,""p"":0.08149127469020745}",
     10000,      5019,         0,   102.6,mwpf,4bed02516f2fb87a1824f86590f57a0d6e44c0abe9c2ccaeecccbbeb699bd68e,"{""d"":3,""p"":0.12589254117941673}",
     10000,         0,         0,    14.3,mwpf,c305e61985a0126ac12c573d17e55d1a117a6f2cea89eed5287889a450d4b7be,"{""d"":5,""p"":0.0025118864315095794}",
     10000,         0,         0,    26.9,mwpf,0bfe1251011063399cb5986915b116837e05b8d441d5c45fa54066fc72c0b824,"{""d"":5,""p"":0.0038805107322101838}",
     10000,         0,         0,    38.5,mwpf,8ac75168bbf5e5ec7f2435fbfeaee1a4699142df22ba4611f3e4c89f0f594845,"{""d"":5,""p"":0.005994842503189409}",
     10000,         1,         0,    59.6,mwpf,0ddb8bc098ae04d875db36adfe3b68457bb06f04ed465506db87b5a7019116a5,"{""d"":5,""p"":0.009261187281287938}",
     10000,        23,         0,   143.1,mwpf,c697576f3c865699220cad50acb1a955a52693f014d2e04598fbe735a9e5e155,"{""d"":5,""p"":0.014307229891937572}",
     10000,       243,         0,   211.3,mwpf,da82399c9ca5c271d0abbe007448b53fa0208b0536d3cea1492d190f5e01c3be,"{""d"":5,""p"":0.022102654979706378}",
     10000,      1875,         0,   379.6,mwpf,c462ddb6fb9e795d0140912f7fdbef32acbeec2c71eb6a0da478c3c294caba0d,"{""d"":5,""p"":0.034145488738336026}",
     10000,      4733,         0,   494.1,mwpf,c25e9e94601fa3f3339a13a2ed964bee27f3efc0f9df4fcb3177c8415b91696e,"{""d"":5,""p"":0.052749970637026196}",
     10000,      4907,         0,  1563.7,mwpf,37ac1667e32ab8570e33d1b421efd6f5ea9199056428ad0f9c5e678a3970c38e,"{""d"":5,""p"":0.08149127469020745}",
     10000,      5052,         0,   858.8,mwpf,206a010e815f6264f2e4dde2db3cfc1acf8e07c3254f301bef34e6071f347300,"{""d"":5,""p"":0.12589254117941673}",
