     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     10000,         0,         0,   0.092,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
     10000,         3,         0,   0.048,pymatching,dd328ffc42687091fb6cafe45673fd74322ed69e8c2de333cc7f62cfb8179572,"{""d"":3,""p"":0.0038805107322101838}",
     10000,        13,         0,   0.095,pymatching,18829a32ad60ab13b56e7c948c01ba35822952531dac2bc08aad980638dbed58,"{""d"":3,""p"":0.005994842503189409}",
     10000,        14,         0,   0.062,pymatching,9fd91efa4a96c09f24a7d46f2f24a01c489f67cf353ee79bdda986b4bf2c1a15,"{""d"":3,""p"":0.009261187281287938}",
     10000,        45,         0,   0.062,pymatching,1d6776ee22555d98409c175ac65a74c2f3973ed2be323350270fd2d3f19e0d76,"{""d"":3,""p"":0.014307229891937572}",
     10000,        97,         0,   0.047,pymatching,85cfeb47fe0c30397446b65cdac786369eff67c88337e3a6d684e30a36dd8e5a,"{""d"":3,""p"":0.022102654979706378}",
     10000,       234,         0,   0.064,pymatching,2b81b73fdbe8cbad88a3107e7eb17ff2127d1c612d5aac717df7e32c43faff40,"{""d"":3,""p"":0.034145488738336026}",
     10000,       495,         0,   0.064,pymatching,2a82029f7a6c7f5161ae666210216783b7df82d8ed5d20be374e43eda4fed8cc,"{""d"":3,""p"":0.052749970637026196}",
     10000,      1134,         0,   0.125,pymatching,c0c1bf55d3dc60f6a297dab42f31f119f1169fc43cdbfb0ee21b46019b09df46,"{""d"":3,""p"":0.08149127469020745}",
     10000,      2106,         0,   0.064,pymatching,94ea018c172201f99c57686e747163c34fa22030d8429fe23622a485cd5286e7,"{""d"":3,""p"":0.12589254117941673}",
     10000,         0,         0,   0.282,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
     10000,         0,         0,   0.250,pymatching,79623bfbf2e7b6012a9cd6441fe70a8efbfd66e8869836cf68857a67427e6243,"{""d"":5,""p"":0.0038805107322101838}",
     10000,         0,         0,   0.235,pymatching,e00215057533eeab572a18cb3b8d032a7b8da117f4e28cba0a19f65b1e02ddc4,"{""d"":5,""p"":0.005994842503189409}",
     10000,         3,         0,   0.235,pymatching,eb81bfb3581867294f48d71fd917558e0d60f5c2075ee8b403aab201118ae111,"{""d"":5,""p"":0.009261187281287938}",
     10000,        10,         0,   0.235,pymatching,19f85900424d6bbf00f515bb13207998ba61402fe853a354d207a878d687fe9d,"{""d"":5,""p"":0.014307229891937572}",
     10000,        47,         0,   0.328,pymatching,eb870b5d17e0122f0a61f58b6d15f17249d16a3f9b753c3dc720f9c89e713c67,"{""d"":5,""p"":0.022102654979706378}",
     10000,       173,         0,   0.281,pymatching,5ddc4147ab59d7457f485ba31b585661de814098a3ad66592156c0f3e23904ef,"{""d"":5,""p"":0.034145488738336026}",
     10000,       539,         0,   0.359,pymatching,5dc943a3960cde5cb41ff90910f4a2366cf86767e550e277c798539c5f90d1e8,"{""d"":5,""p"":0.052749970637026196}",
     10000,      1552,         0,   0.531,pymatching,cc1749e2a78b3dca729dc7a15d5cb2e16a67c8c01c5a45cd83e78189a816f23c,"{""d"":5,""p"":0.08149127469020745}",
     10000,      3246,         0,   0.750,pymatching,5aa3bc68136752fea8659f4e78067753ac98051445a879350d5dcdedb19c99dd,"{""d"":5,""p"":0.12589254117941673}",
