     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     10000,         5,         0,   0.703,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
     10000,        42,         0,    3.09,mwpf,83fa3b1ab0833260a785c76c4c23e87ed5daaf6f16866cce81f72de5a668caa5,"{""d"":3,""p"":0.01,""r"":5}",
     10000,        82,         0,    4.78,mwpf,b3c9cef62a0f9cfe6f3ecded1cbdaf3ff7db51172f04b0c1a408ee05bcbc2ee0,"{""d"":3,""p"":0.01,""r"":8}",
     10000,        97,         0,    10.3,mwpf,ae7bde976aba7fde404b519cf7d5fef41d20c856a2bbc2e3ff09431cf8a6b2f0,"{""d"":3,""p"":0.01,""r"":11}",
     10000,       133,         0,    15.7,mwpf,8ad15129ada73d1b8005a626bcd20613a1fd2dfb2c5b86b3cdf37081ac8767ef,"{""d"":3,""p"":0.01,""r"":14}",
     10000,         0,         0,    2.80,mwpf,aeec15c15358f93276a8744ac462c34a8bb5e9b4765bf5339198d3f64cdbb464,"{""d"":5,""p"":0.01,""r"":2}",
     10000,         0,         0,    9.78,mwpf,d6839ff69cdc774cfa19c8ac54d8bb468ac9e966c404c1ef4deaa64177d173c3,"{""d"":5,""p"":0.01,""r"":5}",
     10000,         4,         0,    17.3,mwpf,e65737d69802d1503bb92086f4e28588637fed4a9e723645182012a0239f6b36,"{""d"":5,""p"":0.01,""r"":8}",
     10000,         4,         0,    34.3,mwpf,7cae65b7fa5811f146135679ffc3a974619070936c15b9a5e208afb373dbcf1f,"{""d"":5,""p"":0.01,""r"":11}",
     10000,         3,         0,    70.9,mwpf,b6f6dbed3b60ac6675e7c77d1ac4711b99858a5514425f33084597d4f3a9cfdf,"{""d"":5,""p"":0.01,""r"":14}",
     10000,         0,         0,    5.94,mwpf,1f6a1ee6088c32471f93df60752b45cc5dab61a89fc6f8a0e73d1c3b6ce9f35a,"{""d"":7,""p"":0.01,""r"":2}",
     10000,         0,         0,    25.5,mwpf,3759b767692f244408753fe78f6772d2cabefefb333d95425f322d8bcec4344a,"{""d"":7,""p"":0.01,""r"":5}",
     10000,         0,         0,    58.2,mwpf,2511d52e9d204c87a4005bbf4a71113d508f432341c4b89306cd5338078f11b0,"{""d"":7,""p"":0.01,""r"":8}",
     10000,         0,         0,   256.1,mwpf,2cc7ff7bbc3c47b009af231f19694ef514dbad69992c6623dcebeec959685454,"{""d"":7,""p"":0.01,""r"":11}",
      4170,         0,         0, 45096.4,mwpf,2787cce7ea74385c1ffd05579682766b653b0f9c89805cd734870e26d98a3256,"{""d"":7,""p"":0.01,""r"":14}",
