     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     10000,         9,         0,   0.000,pymatching,0ca31ec9c210dda0f9df3a3a120dad69e3b61a6c9daf2fb4109b512c8c6f60ce,"{""d"":3,""p"":0.01,""r"":2}",
     10000,        17,         0,   0.015,pymatching,7de08d0b9365cccae4453d4e9f3da6ed1f3e2aa272e11b3a908621d9f2707ceb,"{""d"":3,""p"":0.01,""r"":5}",
     10000,        16,         0,   0.048,pymatching,58ce4478eaf607c41757b4312f79657419fe6148714ec62f92062a9de455eec9,"{""d"":3,""p"":0.01,""r"":8}",
     10000,        24,         0,   0.063,pymatching,80a69916dbd7e321acaf60a0dc60d49ac552acf8ee6fbbb053e21bdfd509e827,"{""d"":3,""p"":0.01,""r"":11}",
     10000,        34,         0,   0.110,pymatching,6e140c00319c6a9321b938d5b166fd28bd3848b1c47ce7bf1578171780236927,"{""d"":3,""p"":0.01,""r"":14}",
     10000,         0,         0,   0.047,pymatching,717d3871fc1d5d4261c0450089bba6909491cb36fbb76983496cd5618580bcee,"{""d"":5,""p"":0.01,""r"":2}",
     10000,         2,         0,   0.047,pymatching,2721240e98ceef1e7e14acf6d491d9098726ff2835e9e99e62cb7c41f21c2674,"{""d"":5,""p"":0.01,""r"":5}",
     10000,         2,         0,   0.172,pymatching,a8e300966e701fb69a43cab76389bde2b0a10e7db094cde1bd37c45cc4720f92,"{""d"":5,""p"":0.01,""r"":8}",
     10000,         1,         0,   0.217,pymatching,709d7b8acf322883dc34a239911bfcedd66d5e3263e2b791423da39830188024,"{""d"":5,""p"":0.01,""r"":11}",
     10000,         2,         0,   0.219,pymatching,9075952736c290c021f127d713f52a2c7c7a15561468cb59e43a5048b3140c9b,"{""d"":5,""p"":0.01,""r"":14}",
     10000,         0,         0,   0.062,pymatching,0debe9462bf4238d253b5dc1f78c9bed614ca64e2261f730d1f145b6f72c152c,"{""d"":7,""p"":0.01,""r"":2}",
     10000,         0,         0,   0.189,pymatching,0eda15db461fcbac1c9953905ed2acbf55c2e80f2d3714bdc0c0823c815e68cb,"{""d"":7,""p"":0.01,""r"":5}",
     10000,         0,         0,   0.248,pymatching,260a97b7219706b3e71fed7dea98961850c7b361a1a2f808eb638d6a584e29ee,"{""d"":7,""p"":0.01,""r"":8}",
     10000,         0,         0,   0.264,pymatching,eb1c5d638e09bf8083b97c144567a52b29e69141c5a0f8706f985123ab161cb2,"{""d"":7,""p"":0.01,""r"":11}",
     10000,         1,         0,   0.513,pymatching,17199f29cdc4a4cb9012d3870b0869838385fbff628645545f0a4f9267328745,"{""d"":7,""p"":0.01,""r"":14}",
