,     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
0,20000,3,0,2.2,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
1,20000,7,0,3.81,mwpf,13b6ab7d3857392358e633ee4f1bc35ba8071f3fd2681daa91fdf28b443d686c,"{""d"":3,""p"":0.004393970560760791}",
2,20000,45,0,11.9,mwpf,2591658a790090b85f4e474c16efd7054e8f7986881ff39f150581eab96e2df3,"{""d"":3,""p"":0.007686246100397738}",
3,20000,180,0,263.8,mwpf,b0597e0892db2124aa1ee06da3bf708f93f0dfd5a4b3bf3e80fa1145952d58ed,"{""d"":3,""p"":0.013445328842997609}",
4,20000,761,0,23.6,mwpf,1179f49909b7892313dde250bb26da28dcf76ba50d1d7d85b38997d3a98f9209,"{""d"":3,""p"":0.02351952635070959}",
5,20000,2756,0,42.9,mwpf,36c1f240d29bc210c717b0180c4e7779788339a75f516cc5d2cac6f7119c2f59,"{""d"":3,""p"":0.04114202978752843}",
6,20000,6270,0,69.7,mwpf,b67037f789cc0d108dc00c8bdf57b252001d2d4258b629d429a41a8361195aad,"{""d"":3,""p"":0.07196856730011521}",
7,20000,8350,0,61.9,mwpf,cc4e3c07dc3669fcea2e9a13a2b394d423b2ac32eeb958aee0afdf145aa3d95b,"{""d"":3,""p"":0.12589254117941673}",
8,20000,0,0,18.5,mwpf,5d4eccf738e2e55f3c4f246df3bfd13a521e29b7d81b110f67b5a0b26ad0be56,"{""d"":5,""p"":0.0025118864315095794}",
9,20000,1,0,46.6,mwpf,0dcd211c99725ab3280954987ffd8bdceda2a799a93a9537cce48affea1825c4,"{""d"":5,""p"":0.004393970560760791}",
10,20000,12,0,71.7,mwpf,847cc7da4ef6f49eba4d706f8e721e615e5993326f048cd643cc328b33965e55,"{""d"":5,""p"":0.007686246100397738}",
11,20000,39,0,99.4,mwpf,9d536faf65aff78633193f6fc4ecf97826726e6178072edf0faf9e3d358026b0,"{""d"":5,""p"":0.013445328842997609}",
12,20000,307,0,172.5,mwpf,2c41c765044c81b5791866553c9a508bd794fdcabf923cfb3b68d749011f9196,"{""d"":5,""p"":0.02351952635070959}",
13,20000,2345,0,379.3,mwpf,788ad5d93349592fd0eef7ab1640b1a9826b5e492a5ba61cc4117bb3bdc820f4,"{""d"":5,""p"":0.04114202978752843}",
14,20000,7501,0,1298.1,mwpf,da5f8f927b84b04526d8573637832c407161cdb767c8ef145c131024fc22ddfd,"{""d"":5,""p"":0.07196856730011521}",
15,20000,9570,0,1027.6,mwpf,29f090daf6d9dc291fe198341e3c9bba8cba6b6c53105926386752db28896d33,"{""d"":5,""p"":0.12589254117941673}",
