     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        17,         0,         0,   0.016,mwpf,dc9a9bc338851236c6aab858f011cae31290b2e2725052a98a5a3ead5312bc42,"{""d"":3,""p"":0.0025118864315095794}",
       233,         1,         0,   0.062,mwpf,dc9a9bc338851236c6aab858f011cae31290b2e2725052a98a5a3ead5312bc42,"{""d"":3,""p"":0.0025118864315095794}",
        62,         0,         0,   0.016,mwpf,dc9a9bc338851236c6aab858f011cae31290b2e2725052a98a5a3ead5312bc42,"{""d"":3,""p"":0.0025118864315095794}",
       188,         0,         0,   0.063,mwpf,dc9a9bc338851236c6aab858f011cae31290b2e2725052a98a5a3ead5312bc42,"{""d"":3,""p"":0.0025118864315095794}",
        17,         0,         0,   0.000,mwpf,dc9a9bc338851236c6aab858f011cae31290b2e2725052a98a5a3ead5312bc42,"{""d"":3,""p"":0.0025118864315095794}",
        62,         0,         0,   0.015,mwpf,dc9a9bc338851236c6aab858f011cae31290b2e2725052a98a5a3ead5312bc42,"{""d"":3,""p"":0.0025118864315095794}",
        63,         0,         0,   0.016,mwpf,dc9a9bc338851236c6aab858f011cae31290b2e2725052a98a5a3ead5312bc42,"{""d"":3,""p"":0.0025118864315095794}",
       108,         0,         0,   0.032,mwpf,dc9a9bc338851236c6aab858f011cae31290b2e2725052a98a5a3ead5312bc42,"{""d"":3,""p"":0.0025118864315095794}",
        62,         0,         0,   0.016,mwpf,dc9a9bc338851236c6aab858f011cae31290b2e2725052a98a5a3ead5312bc42,"{""d"":3,""p"":0.0025118864315095794}",
        63,         0,         0,   0.032,mwpf,dc9a9bc338851236c6aab858f011cae31290b2e2725052a98a5a3ead5312bc42,"{""d"":3,""p"":0.0025118864315095794}",
        63,         0,         0,   0.016,mwpf,dc9a9bc338851236c6aab858f011cae31290b2e2725052a98a5a3ead5312bc42,"{""d"":3,""p"":0.0025118864315095794}",
        62,         0,         0,   0.016,mwpf,dc9a9bc338851236c6aab858f011cae31290b2e2725052a98a5a3ead5312bc42,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.125,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
         4,         0,         0,   0.016,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        64,         0,         0,   0.437,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        64,         0,         0,   0.531,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        64,         0,         0,   0.266,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        53,         0,         0,   0.265,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
         1,         0,         0,   0.047,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
         8,         0,         0,   0.015,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        62,         0,         0,   0.188,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
       128,         0,         0,   0.344,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
         9,         0,         0,   0.015,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        42,         0,         0,   0.094,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        62,         0,         0,   0.235,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
         1,         0,         0,   0.328,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        16,         0,         0,   0.063,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        14,         0,         0,   0.047,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        63,         0,         0,   0.188,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        93,         0,         0,   0.219,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
         1,         0,         0,   0.016,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        16,         0,         0,   0.047,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        62,         0,         0,   0.172,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        62,         0,         0,   0.156,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        46,         0,         0,   0.156,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
        63,         0,         0,   0.203,mwpf,c48f689a698a52c2ed1ea4f490f30504bd4968ad4844ee458cb61b73b7651e7f,"{""d"":5,""p"":0.0025118864315095794}",
       250,         1,         0,   0.172,mwpf,af917f5323e60509ef719fea5873d94cc2f65a552ae731a2dca675f89cad68ed,"{""d"":3,""p"":0.005495408738576243}",
        17,         0,         0,   0.015,mwpf,af917f5323e60509ef719fea5873d94cc2f65a552ae731a2dca675f89cad68ed,"{""d"":3,""p"":0.005495408738576243}",
        62,         0,         0,   0.047,mwpf,af917f5323e60509ef719fea5873d94cc2f65a552ae731a2dca675f89cad68ed,"{""d"":3,""p"":0.005495408738576243}",
         1,         0,         0,   0.016,mwpf,af917f5323e60509ef719fea5873d94cc2f65a552ae731a2dca675f89cad68ed,"{""d"":3,""p"":0.005495408738576243}",
       171,         2,         0,   0.110,mwpf,af917f5323e60509ef719fea5873d94cc2f65a552ae731a2dca675f89cad68ed,"{""d"":3,""p"":0.005495408738576243}",
       187,         0,         0,   0.109,mwpf,af917f5323e60509ef719fea5873d94cc2f65a552ae731a2dca675f89cad68ed,"{""d"":3,""p"":0.005495408738576243}",
        62,         0,         0,   0.031,mwpf,af917f5323e60509ef719fea5873d94cc2f65a552ae731a2dca675f89cad68ed,"{""d"":3,""p"":0.005495408738576243}",
        63,         0,         0,   0.016,mwpf,af917f5323e60509ef719fea5873d94cc2f65a552ae731a2dca675f89cad68ed,"{""d"":3,""p"":0.005495408738576243}",
        62,         0,         0,   0.032,mwpf,af917f5323e60509ef719fea5873d94cc2f65a552ae731a2dca675f89cad68ed,"{""d"":3,""p"":0.005495408738576243}",
        62,         0,         0,   0.016,mwpf,af917f5323e60509ef719fea5873d94cc2f65a552ae731a2dca675f89cad68ed,"{""d"":3,""p"":0.005495408738576243}",
