     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2000,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
      2000,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
      2000,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
      1600,         2,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
      1600,         0,         0,   0.015,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
       160,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
       160,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
       160,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
       112,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
        80,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
        96,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
         6,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
         7,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
         4,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
         4,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
         4,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
         2,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,a99a99f2f4ffd5dbefb48766f6b43fcd3e945b74addb7f35ced4bafcef73c836,"{""d"":3,""p"":0.0025118864315095794}",
       273,         0,         0,   0.015,pymatching,a073c969bc0f6e293e873ed118cde317440df949682ac6114bb6b52201614441,"{""d"":5,""p"":0.0025118864315095794}",
       273,         0,         0,   0.015,pymatching,a073c969bc0f6e293e873ed118cde317440df949682ac6114bb6b52201614441,"{""d"":5,""p"":0.0025118864315095794}",
         1,         0,         0,   0.016,pymatching,a073c969bc0f6e293e873ed118cde317440df949682ac6114bb6b52201614441,"{""d"":5,""p"":0.0025118864315095794}",
       273,         0,         0,   0.016,pymatching,a073c969bc0f6e293e873ed118cde317440df949682ac6114bb6b52201614441,"{""d"":5,""p"":0.0025118864315095794}",
      1024,         0,         0,   0.031,pymatching,a073c969bc0f6e293e873ed118cde317440df949682ac6114bb6b52201614441,"{""d"":5,""p"":0.0025118864315095794}",
      1024,         0,         0,   0.031,pymatching,a073c969bc0f6e293e873ed118cde317440df949682ac6114bb6b52201614441,"{""d"":5,""p"":0.0025118864315095794}",
      1296,         0,         0,   0.015,pymatching,a073c969bc0f6e293e873ed118cde317440df949682ac6114bb6b52201614441,"{""d"":5,""p"":0.0025118864315095794}",
       703,         0,         0,   0.016,pymatching,a073c969bc0f6e293e873ed118cde317440df949682ac6114bb6b52201614441,"{""d"":5,""p"":0.0025118864315095794}",
