     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        17,         0,         0,   0.016,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
       256,         0,         0,   0.062,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
       977,         0,         0,   0.250,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
       156,         0,         0,   0.031,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
       272,         0,         0,   0.063,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
       156,         0,         0,   0.047,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.015,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
       273,         0,         0,   0.109,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
       156,         0,         0,   0.031,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
       272,         0,         0,   0.078,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
       273,         0,         0,   0.062,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
       229,         0,         0,   0.078,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
       821,         0,         0,   0.234,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.015,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
       748,         0,         0,   0.203,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
       156,         0,         0,   0.032,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
       156,         0,         0,   0.047,mwpf,7f58c82e66cd289e867aa03ce1e3f4cc308a0d5fbbe1f5ea3c028d5ef93370f9,"{""d"":3,""p"":0.0025118864315095794}",
