     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.015,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.015,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
      1999,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
      1999,         1,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
      2000,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
      1600,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
      1600,         1,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
       160,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
       160,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
        96,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
        77,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
       128,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
        96,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
        16,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
        17,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
         4,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
        32,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
        10,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
      1296,         0,         0,   0.031,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
      1297,         0,         0,   0.031,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
        17,         0,         0,   0.000,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
       703,         0,         0,   0.015,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
       703,         0,         0,   0.015,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
       141,         0,         0,   0.000,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
      1280,         0,         0,   0.032,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
        58,         0,         0,   0.000,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
       273,         0,         0,   0.016,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
       662,         0,         0,   0.016,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
      1197,         0,         0,   0.016,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
       662,         0,         0,   0.031,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
       645,         0,         0,   0.015,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
      1024,         0,         0,   0.015,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
         9,         0,         0,   0.000,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
         9,         0,         0,   0.016,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
         7,         0,         0,   0.000,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
         7,         0,         0,   0.000,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
         4,         0,         0,   0.000,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
         2,         0,         0,   0.016,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,aa182bfcadb141aab8959d11bf0c49d61550a3d29bb5d82f1554c3ace4870d74,"{""d"":5,""p"":0.0025118864315095794}",
      2000,         0,         0,   0.016,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
      1297,         0,         0,   0.016,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
       303,         1,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
       400,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
         1,         0,         0,   0.015,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
      1199,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
       400,         2,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
       400,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
       800,         0,         0,   0.016,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
       400,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
       640,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
       160,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
       400,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
       320,         1,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
       320,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
       320,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
       320,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
       128,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
        64,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
        26,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
        64,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
         6,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
         8,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
         8,         0,         0,   0.000,pymatching,28289e667cd62507df64a4e2d0f5d0edfa6beeb902d1649be20c6a16386f7357,"{""d"":3,""p"":0.004393970560760791}",
