     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.016,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.016,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
      1297,         0,         0,   0.015,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
      1999,         0,         0,   0.015,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
      1999,         0,         0,   0.015,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
       703,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
      1297,         0,         0,   0.015,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
        44,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
      1297,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
       118,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
       541,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
        44,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
       532,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
       118,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
         2,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
         2,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,83320b1842295db2caf812bd2dd9350e3f5f056afa649659e41e0d5000f2c023,"{""d"":3,""p"":0.0025118864315095794}",
