     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.016,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        83,         0,         0,   0.031,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        76,         0,         0,   0.016,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        17,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         7,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         7,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         7,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        53,         0,         0,   0.016,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         9,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        68,         0,         0,   0.016,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        17,         0,         0,   0.015,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         7,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         7,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        56,         0,         0,   0.015,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        21,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        39,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        21,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         1,         0,         0,   0.015,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         7,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        41,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        35,         0,         0,   0.016,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         7,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         7,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         7,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         7,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        35,         0,         0,   0.016,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        34,         0,         0,   0.016,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         1,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        34,         0,         0,   0.016,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         1,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        34,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         1,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        21,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         7,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        21,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
         1,         0,         0,   0.016,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        20,         0,         0,   0.016,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        14,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
        17,         0,         0,   0.000,mwpf,c84fce732d994db69a3d99fa3595c7a3d37c7d436228d21f13e6d611253f7223,"{""d"":3,""p"":0.0055,""r"":5}",
