     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         0,         0,   0.000,mwpf,6a58e80b27851ea4538c8354d550cc94a93f6017edde782e153fe29d617bf5c3,"{""d"":3,""p"":0.01,""r"":2}",
         1,         0,         0,   0.016,mwpf,6a58e80b27851ea4538c8354d550cc94a93f6017edde782e153fe29d617bf5c3,"{""d"":3,""p"":0.01,""r"":2}",
        90,         2,         0,   0.016,mwpf,6a58e80b27851ea4538c8354d550cc94a93f6017edde782e153fe29d617bf5c3,"{""d"":3,""p"":0.01,""r"":2}",
        20,         0,         0,   0.000,mwpf,6a58e80b27851ea4538c8354d550cc94a93f6017edde782e153fe29d617bf5c3,"{""d"":3,""p"":0.01,""r"":2}",
        81,         0,         0,   0.015,mwpf,6a58e80b27851ea4538c8354d550cc94a93f6017edde782e153fe29d617bf5c3,"{""d"":3,""p"":0.01,""r"":2}",
        10,         0,         0,   0.000,mwpf,6a58e80b27851ea4538c8354d550cc94a93f6017edde782e153fe29d617bf5c3,"{""d"":3,""p"":0.01,""r"":2}",
         8,         0,         0,   0.000,mwpf,6a58e80b27851ea4538c8354d550cc94a93f6017edde782e153fe29d617bf5c3,"{""d"":3,""p"":0.01,""r"":2}",
        71,         0,         0,   0.000,mwpf,6a58e80b27851ea4538c8354d550cc94a93f6017edde782e153fe29d617bf5c3,"{""d"":3,""p"":0.01,""r"":2}",
        19,         0,         0,   0.000,mwpf,6a58e80b27851ea4538c8354d550cc94a93f6017edde782e153fe29d617bf5c3,"{""d"":3,""p"":0.01,""r"":2}",
         1,         0,         0,   0.016,mwpf,6a58e80b27851ea4538c8354d550cc94a93f6017edde782e153fe29d617bf5c3,"{""d"":3,""p"":0.01,""r"":2}",
        10,         0,         0,   0.000,mwpf,6a58e80b27851ea4538c8354d550cc94a93f6017edde782e153fe29d617bf5c3,"{""d"":3,""p"":0.01,""r"":2}",
        10,         0,         0,   0.000,mwpf,6a58e80b27851ea4538c8354d550cc94a93f6017edde782e153fe29d617bf5c3,"{""d"":3,""p"":0.01,""r"":2}",
        59,         0,         0,   0.000,mwpf,6a58e80b27851ea4538c8354d550cc94a93f6017edde782e153fe29d617bf5c3,"{""d"":3,""p"":0.01,""r"":2}",
