     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.016,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
        99,         0,         0,   0.000,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
       100,         0,         0,   0.016,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
         1,         0,         0,   0.016,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
        79,         0,         0,   0.015,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
        10,         0,         0,   0.000,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
        10,         0,         0,   0.000,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
        19,         0,         0,   0.016,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
        71,         0,         0,   0.016,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
        10,         0,         0,   0.000,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
        60,         0,         0,   0.000,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
        10,         0,         0,   0.000,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
         1,         0,         0,   0.016,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
        30,         0,         0,   0.000,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
        52,         0,         0,   0.000,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
        50,         0,         0,   0.000,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
        37,         0,         0,   0.000,mwpf,e3c40c0935b66e8afef19158d22dce90ad997ff438406475301daf7ee0c1e630,"{""d"":3,""p"":0.0055,""r"":2}",
