     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.016,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       272,         0,         0,   0.031,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
         1,         0,         0,   0.016,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       561,         0,         0,   0.032,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       272,         0,         0,   0.015,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       131,         0,         0,   0.015,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       492,         0,         0,   0.047,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       273,         0,         0,   0.031,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        70,         0,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       273,         0,         0,   0.016,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        74,         0,         0,   0.016,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        74,         0,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       417,         0,         0,   0.031,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        70,         0,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        35,         0,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       273,         0,         0,   0.016,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       417,         1,         0,   0.047,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       138,         0,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        70,         0,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       273,         0,         0,   0.016,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        70,         0,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       188,         0,         0,   0.016,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       312,         0,         0,   0.031,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
         1,         0,         0,   0.015,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       273,         1,         0,   0.015,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        57,         0,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        25,         0,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       256,         1,         0,   0.015,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        23,         0,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        70,         0,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       252,         0,         0,   0.015,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       212,         0,         0,   0.016,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       272,         0,         0,   0.016,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       138,         0,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       301,         0,         0,   0.031,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        27,         0,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        70,         0,         0,   0.016,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
         5,         0,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       273,         0,         0,   0.016,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
         1,         0,         0,   0.016,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        70,         0,         0,   0.016,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
       208,         0,         0,   0.016,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
        70,         1,         0,   0.000,mwpf,4b555c695bb0e408db1e1cdf952d90e4349b92eb0339aa9777323da586a3f8ff,"{""d"":3,""p"":0.01,""r"":2}",
