     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     10513,       386,         0,   0.016,pymatching,1140e6104a1f458fc201319e89842cdfd18f7c0d4631fe0aedce302f7c5e66b8,"{""d"":3,""p"":0.01,""r"":2}","{""detection_events"":9616,""detectors_checked"":872579}"
     10513,       415,         0,   0.016,pymatching,1140e6104a1f458fc201319e89842cdfd18f7c0d4631fe0aedce302f7c5e66b8,"{""d"":3,""p"":0.01,""r"":2}","{""detection_events"":9697,""detectors_checked"":872579}"
     14487,       524,         0,   0.000,pymatching,1140e6104a1f458fc201319e89842cdfd18f7c0d4631fe0aedce302f7c5e66b8,"{""d"":3,""p"":0.01,""r"":2}","{""detection_events"":13374,""detectors_checked"":1202421}"
     14487,       493,         0,   0.000,pymatching,1140e6104a1f458fc201319e89842cdfd18f7c0d4631fe0aedce302f7c5e66b8,"{""d"":3,""p"":0.01,""r"":2}","{""detection_events"":13256,""detectors_checked"":1202421}"
     12561,       467,         0,   0.000,pymatching,1140e6104a1f458fc201319e89842cdfd18f7c0d4631fe0aedce302f7c5e66b8,"{""d"":3,""p"":0.01,""r"":2}","{""detection_events"":11343,""detectors_checked"":1042563}"
     16122,       573,         0,   0.000,pymatching,1140e6104a1f458fc201319e89842cdfd18f7c0d4631fe0aedce302f7c5e66b8,"{""d"":3,""p"":0.01,""r"":2}","{""detection_events"":14837,""detectors_checked"":1338126}"
      1024,        34,         0,   0.000,pymatching,1140e6104a1f458fc201319e89842cdfd18f7c0d4631fe0aedce302f7c5e66b8,"{""d"":3,""p"":0.01,""r"":2}","{""detection_events"":902,""detectors_checked"":84992}"
      5330,       205,         0,   0.000,pymatching,1140e6104a1f458fc201319e89842cdfd18f7c0d4631fe0aedce302f7c5e66b8,"{""d"":3,""p"":0.01,""r"":2}","{""detection_events"":4920,""detectors_checked"":442390}"
      5330,       204,         0,   0.000,pymatching,1140e6104a1f458fc201319e89842cdfd18f7c0d4631fe0aedce302f7c5e66b8,"{""d"":3,""p"":0.01,""r"":2}","{""detection_events"":4882,""detectors_checked"":442390}"
      1024,        38,         0,   0.000,pymatching,1140e6104a1f458fc201319e89842cdfd18f7c0d4631fe0aedce302f7c5e66b8,"{""d"":3,""p"":0.01,""r"":2}","{""detection_events"":1021,""detectors_checked"":84992}"
      3741,       138,         0,   0.000,pymatching,1140e6104a1f458fc201319e89842cdfd18f7c0d4631fe0aedce302f7c5e66b8,"{""d"":3,""p"":0.01,""r"":2}","{""detection_events"":3527,""detectors_checked"":310503}"
      2717,        92,         0,   0.000,pymatching,1140e6104a1f458fc201319e89842cdfd18f7c0d4631fe0aedce302f7c5e66b8,"{""d"":3,""p"":0.01,""r"":2}","{""detection_events"":2503,""detectors_checked"":225511}"
