     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       273,         2,         0,   0.016,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":303,""detectors_checked"":22659}"
        17,         0,         0,   0.015,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":24,""detectors_checked"":1411}"
       256,         1,         0,   0.016,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":329,""detectors_checked"":21248}"
       273,         0,         0,   0.016,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":311,""detectors_checked"":22659}"
         1,         0,         0,   0.015,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detectors_checked"":83}"
      1024,         3,         0,   0.093,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":1125,""detectors_checked"":84992}"
      1024,         1,         0,   0.062,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":1185,""detectors_checked"":84992}"
       272,         0,         0,   0.016,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":300,""detectors_checked"":22576}"
      1024,         0,         0,   0.078,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":1310,""detectors_checked"":84992}"
      1024,         1,         0,   0.063,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":1259,""detectors_checked"":84992}"
      1024,         2,         0,   0.047,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":1254,""detectors_checked"":84992}"
      1024,         3,         0,   0.063,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":1205,""detectors_checked"":84992}"
       179,         0,         0,   0.016,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":238,""detectors_checked"":14857}"
       179,         0,         0,   0.016,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":222,""detectors_checked"":14857}"
      1024,         1,         0,   0.078,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":1161,""detectors_checked"":84992}"
       179,         2,         0,   0.015,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":233,""detectors_checked"":14857}"
      1024,         4,         0,   0.062,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":1291,""detectors_checked"":84992}"
        45,         0,         0,   0.016,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":42,""detectors_checked"":3735}"
        45,         0,         0,   0.000,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":54,""detectors_checked"":3735}"
        34,         0,         0,   0.000,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":37,""detectors_checked"":2822}"
        34,         0,         0,   0.000,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":39,""detectors_checked"":2822}"
        21,         0,         0,   0.016,mwpf,19a82246e0786c913e0e29683b2c6e36b21b929aaadc4950157e69d6cf465411,"{""d"":3,""p"":0.00909090909090909,""r"":2}","{""detection_events"":10,""detectors_checked"":1743}"
         1,         0,         0,   0.016,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":1,""detectors_checked"":151}"
       272,         0,         0,   0.016,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":605,""detectors_checked"":41072}"
      1024,         0,         0,   0.062,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":2344,""detectors_checked"":154624}"
       273,         0,         0,   0.016,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":678,""detectors_checked"":41223}"
       273,         0,         0,   0.016,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":648,""detectors_checked"":41223}"
      1024,         0,         0,   0.063,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":2337,""detectors_checked"":154624}"
      1024,         0,         0,   0.047,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":2380,""detectors_checked"":154624}"
       273,         0,         0,   0.031,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":634,""detectors_checked"":41223}"
       179,         0,         0,   0.015,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":390,""detectors_checked"":27029}"
      1024,         0,         0,   0.063,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":2268,""detectors_checked"":154624}"
      1024,         0,         0,   0.062,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":2382,""detectors_checked"":154624}"
       135,         0,         0,   0.000,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":303,""detectors_checked"":20385}"
        44,         0,         0,   0.000,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":94,""detectors_checked"":6644}"
       391,         0,         0,   0.031,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":971,""detectors_checked"":59041}"
      1024,         0,         0,   0.078,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":2151,""detectors_checked"":154624}"
       812,         0,         0,   0.047,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":1993,""detectors_checked"":122612}"
       308,         0,         0,   0.016,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":707,""detectors_checked"":46508}"
       301,         0,         0,   0.016,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":743,""detectors_checked"":45451}"
       391,         0,         0,   0.032,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":871,""detectors_checked"":59041}"
       203,         0,         0,   0.000,mwpf,c1313c514038716b2b66d682dfa61c256f8f4175388e12b279b160f114453d36,"{""d"":5,""p"":0.00909090909090909,""r"":2}","{""detection_events"":514,""detectors_checked"":30653}"
       273,         0,         0,   0.031,mwpf,084e2556e38f9110e40dbaed3ca7315526ac1533a4986f6b3d32d9fb9e227d4c,"{""d"":9,""p"":0.00909090909090909,""r"":2}","{""detection_events"":1179,""detectors_checked"":78351}"
       273,         0,         0,   0.031,mwpf,084e2556e38f9110e40dbaed3ca7315526ac1533a4986f6b3d32d9fb9e227d4c,"{""d"":9,""p"":0.00909090909090909,""r"":2}","{""detection_events"":1241,""detectors_checked"":78351}"
      1024,         0,         0,   0.125,mwpf,084e2556e38f9110e40dbaed3ca7315526ac1533a4986f6b3d32d9fb9e227d4c,"{""d"":9,""p"":0.00909090909090909,""r"":2}","{""detection_events"":4571,""detectors_checked"":293888}"
      1024,         0,         0,   0.109,mwpf,084e2556e38f9110e40dbaed3ca7315526ac1533a4986f6b3d32d9fb9e227d4c,"{""d"":9,""p"":0.00909090909090909,""r"":2}","{""detection_events"":4436,""detectors_checked"":293888}"
       273,         0,         0,   0.031,mwpf,084e2556e38f9110e40dbaed3ca7315526ac1533a4986f6b3d32d9fb9e227d4c,"{""d"":9,""p"":0.00909090909090909,""r"":2}","{""detection_events"":1229,""detectors_checked"":78351}"
      1024,         0,         0,   0.141,mwpf,084e2556e38f9110e40dbaed3ca7315526ac1533a4986f6b3d32d9fb9e227d4c,"{""d"":9,""p"":0.00909090909090909,""r"":2}","{""detection_events"":4649,""detectors_checked"":293888}"
       273,         0,         0,   0.047,mwpf,084e2556e38f9110e40dbaed3ca7315526ac1533a4986f6b3d32d9fb9e227d4c,"{""d"":9,""p"":0.00909090909090909,""r"":2}","{""detection_events"":1164,""detectors_checked"":78351}"
       179,         0,         0,   0.031,mwpf,084e2556e38f9110e40dbaed3ca7315526ac1533a4986f6b3d32d9fb9e227d4c,"{""d"":9,""p"":0.00909090909090909,""r"":2}","{""detection_events"":751,""detectors_checked"":51373}"
