     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.015,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       272,         0,         0,   0.047,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       977,         0,         0,   0.172,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       156,         0,         0,   0.031,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       273,         0,         0,   0.047,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
        19,         0,         0,   0.000,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       802,         0,         0,   0.140,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.015,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       156,         0,         0,   0.032,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       156,         0,         0,   0.032,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       272,         0,         0,   0.063,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
        19,         0,         0,   0.000,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       156,         0,         0,   0.032,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       232,         0,         0,   0.063,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       273,         0,         0,   0.063,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
        19,         0,         0,   0.016,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       156,         0,         0,   0.031,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       646,         0,         0,   0.125,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       273,         0,         0,   0.046,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       317,         0,         0,   0.047,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
        19,         0,         0,   0.016,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       570,         0,         0,   0.109,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
       485,         0,         0,   0.079,mwpf,5768327e63cfc137555e1a7220241d792c36813fa775e9da41c24a3fe30e447a,"{""d"":3,""p"":0.0025118864315095794}",
