     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2000,         1,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
      2000,         0,         0,   0.016,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
      1297,         1,         0,   0.016,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
       303,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
      1297,         0,         0,   0.016,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
       303,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
       400,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
       400,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
       400,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
       400,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
       320,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
       320,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
       320,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
       112,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
        48,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
         6,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
        26,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
        16,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
         7,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
         5,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
         3,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
        10,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
         4,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
         1,         0,         0,   0.000,pymatching,85eea47add4e19e9be0905e06d7ec09348b02a5e4f6deb6994242ed733debe2a,"{""d"":3,""p"":0.0025118864315095794}",
      1297,         0,         0,   0.047,pymatching,8aa8adee72ce03a542f1bcd95deed501df8b6bb6ffd9b78eb26719183d6b2fe4,"{""d"":5,""p"":0.0025118864315095794}",
         1,         0,         0,   0.015,pymatching,8aa8adee72ce03a542f1bcd95deed501df8b6bb6ffd9b78eb26719183d6b2fe4,"{""d"":5,""p"":0.0025118864315095794}",
       273,         0,         0,   0.015,pymatching,8aa8adee72ce03a542f1bcd95deed501df8b6bb6ffd9b78eb26719183d6b2fe4,"{""d"":5,""p"":0.0025118864315095794}",
       703,         0,         0,   0.016,pymatching,8aa8adee72ce03a542f1bcd95deed501df8b6bb6ffd9b78eb26719183d6b2fe4,"{""d"":5,""p"":0.0025118864315095794}",
      1024,         0,         0,   0.032,pymatching,8aa8adee72ce03a542f1bcd95deed501df8b6bb6ffd9b78eb26719183d6b2fe4,"{""d"":5,""p"":0.0025118864315095794}",
