     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.016,mwpf,5e880a38967a9087de92200ef6d4871935ab6a8be4df59393764f60b349790c2,"{""d"":3,""p"":0.0001}",
       272,         0,         0,   0.046,mwpf,5e880a38967a9087de92200ef6d4871935ab6a8be4df59393764f60b349790c2,"{""d"":3,""p"":0.0001}",
       227,         0,         0,   0.047,mwpf,5e880a38967a9087de92200ef6d4871935ab6a8be4df59393764f60b349790c2,"{""d"":3,""p"":0.0001}",
         1,         0,         0,   0.016,mwpf,5e880a38967a9087de92200ef6d4871935ab6a8be4df59393764f60b349790c2,"{""d"":3,""p"":0.0001}",
       249,         0,         0,   0.046,mwpf,5e880a38967a9087de92200ef6d4871935ab6a8be4df59393764f60b349790c2,"{""d"":3,""p"":0.0001}",
       250,         0,         0,   0.062,mwpf,5e880a38967a9087de92200ef6d4871935ab6a8be4df59393764f60b349790c2,"{""d"":3,""p"":0.0001}",
         1,         0,         0,   0.032,mwpf,465956f66b79de5986b3ec7799d7e9ff04456b8c2c5a14f05eb1788a27d7e499,"{""d"":5,""p"":0.0001}",
        16,         0,         0,   0.047,mwpf,465956f66b79de5986b3ec7799d7e9ff04456b8c2c5a14f05eb1788a27d7e499,"{""d"":5,""p"":0.0001}",
       128,         0,         0,   0.125,mwpf,465956f66b79de5986b3ec7799d7e9ff04456b8c2c5a14f05eb1788a27d7e499,"{""d"":5,""p"":0.0001}",
       355,         0,         0,   0.562,mwpf,465956f66b79de5986b3ec7799d7e9ff04456b8c2c5a14f05eb1788a27d7e499,"{""d"":5,""p"":0.0001}",
         1,         0,         0,   0.016,mwpf,465956f66b79de5986b3ec7799d7e9ff04456b8c2c5a14f05eb1788a27d7e499,"{""d"":5,""p"":0.0001}",
        16,         0,         0,   0.015,mwpf,465956f66b79de5986b3ec7799d7e9ff04456b8c2c5a14f05eb1788a27d7e499,"{""d"":5,""p"":0.0001}",
       233,         0,         0,   0.281,mwpf,465956f66b79de5986b3ec7799d7e9ff04456b8c2c5a14f05eb1788a27d7e499,"{""d"":5,""p"":0.0001}",
       250,         0,         0,   0.312,mwpf,465956f66b79de5986b3ec7799d7e9ff04456b8c2c5a14f05eb1788a27d7e499,"{""d"":5,""p"":0.0001}",
         1,         0,         0,   0.032,mwpf,136ca4f9ad38997b4d363bd76a8cbadc0adf9ce58a6f5e8f97b46f974fdb0c7c,"{""d"":3,""p"":0.00017782794100389227}",
       272,         0,         0,   0.047,mwpf,136ca4f9ad38997b4d363bd76a8cbadc0adf9ce58a6f5e8f97b46f974fdb0c7c,"{""d"":3,""p"":0.00017782794100389227}",
       227,         0,         0,   0.109,mwpf,136ca4f9ad38997b4d363bd76a8cbadc0adf9ce58a6f5e8f97b46f974fdb0c7c,"{""d"":3,""p"":0.00017782794100389227}",
        17,         0,         0,   0.016,mwpf,136ca4f9ad38997b4d363bd76a8cbadc0adf9ce58a6f5e8f97b46f974fdb0c7c,"{""d"":3,""p"":0.00017782794100389227}",
