     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.016,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detectors_checked"":1313}"
       272,         0,         0,   0.047,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":91,""detectors_checked"":357136}"
      1024,         0,         0,   0.109,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":262,""detectors_checked"":1344512}"
       703,         0,         0,   0.078,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":220,""detectors_checked"":923039}"
        17,         0,         0,   0.015,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":3,""detectors_checked"":22321}"
       256,         0,         0,   0.016,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":84,""detectors_checked"":336128}"
       400,         0,         0,   0.047,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":106,""detectors_checked"":525200}"
      1024,         0,         0,   0.109,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":289,""detectors_checked"":1344512}"
       303,         0,         0,   0.032,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":94,""detectors_checked"":397839}"
       273,         0,         0,   0.032,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":83,""detectors_checked"":358449}"
         1,         0,         0,   0.015,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detectors_checked"":1313}"
       400,         0,         0,   0.031,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":96,""detectors_checked"":525200}"
       272,         0,         0,   0.016,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":77,""detectors_checked"":357136}"
       400,         0,         0,   0.063,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":122,""detectors_checked"":525200}"
       400,         0,         0,   0.047,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":139,""detectors_checked"":525200}"
       927,         0,         0,   0.093,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":259,""detectors_checked"":1217151}"
       273,         0,         0,   0.016,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":72,""detectors_checked"":358449}"
      1024,         0,         0,   0.109,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":300,""detectors_checked"":1344512}"
       400,         0,         0,   0.031,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":104,""detectors_checked"":525200}"
       268,         0,         0,   0.031,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":62,""detectors_checked"":351884}"
       393,         0,         0,   0.031,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":91,""detectors_checked"":516009}"
       666,         0,         0,   0.063,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":179,""detectors_checked"":874458}"
       303,         0,         0,   0.032,mwpf,fa74dc2a3c704a1dfbc723f3abaeb18876d68bb91de77af01f8285a4b667bf3d,"{""d"":3,""p"":0.0001}","{""detection_events"":108,""detectors_checked"":397839}"
         1,         0,         0,   0.015,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detectors_checked"":6289}"
        16,         0,         0,   0.016,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":33,""detectors_checked"":100624}"
       256,         0,         0,   0.265,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":346,""detectors_checked"":1609984}"
       512,         0,         0,   0.469,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":822,""detectors_checked"":3219968}"
       512,         0,         0,   0.547,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":808,""detectors_checked"":3219968}"
       512,         0,         0,   0.438,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":795,""detectors_checked"":3219968}"
       191,         0,         0,   0.218,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":259,""detectors_checked"":1201199}"
        17,         0,         0,   0.032,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":22,""detectors_checked"":106913}"
       256,         0,         0,   0.218,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":503,""detectors_checked"":1609984}"
       400,         0,         0,   0.375,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":668,""detectors_checked"":2515600}"
       512,         0,         0,   0.375,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":797,""detectors_checked"":3219968}"
       512,         0,         0,   0.485,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":674,""detectors_checked"":3219968}"
       303,         0,         0,   0.359,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":526,""detectors_checked"":1905567}"
         1,         0,         0,   0.016,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":1,""detectors_checked"":6289}"
        16,         0,         0,   0.000,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":28,""detectors_checked"":100624}"
       256,         0,         0,   0.328,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":380,""detectors_checked"":1609984}"
       400,         0,         0,   0.531,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":669,""detectors_checked"":2515600}"
       400,         0,         0,   0.547,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":601,""detectors_checked"":2515600}"
       256,         0,         0,   0.329,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":440,""detectors_checked"":1609984}"
         1,         0,         0,   0.015,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":1,""detectors_checked"":6289}"
        16,         0,         0,   0.016,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":11,""detectors_checked"":100624}"
       256,         0,         0,   0.234,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":351,""detectors_checked"":1609984}"
       256,         0,         0,   0.328,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":425,""detectors_checked"":1609984}"
       400,         0,         0,   0.469,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":619,""detectors_checked"":2515600}"
       415,         0,         0,   0.453,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":672,""detectors_checked"":2609935}"
       512,         0,         0,   0.547,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":775,""detectors_checked"":3219968}"
       256,         0,         0,   0.250,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":390,""detectors_checked"":1609984}"
        17,         0,         0,   0.015,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":26,""detectors_checked"":106913}"
        99,         0,         0,   0.094,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":171,""detectors_checked"":622611}"
       153,         0,         0,   0.141,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":242,""detectors_checked"":962217}"
       256,         0,         0,   0.204,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":394,""detectors_checked"":1609984}"
       307,         0,         0,   0.250,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":515,""detectors_checked"":1930723}"
       400,         0,         0,   0.297,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":689,""detectors_checked"":2515600}"
         6,         0,         0,   0.015,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":18,""detectors_checked"":37734}"
       100,         0,         0,   0.078,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":139,""detectors_checked"":628900}"
       233,         0,         0,   0.203,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":317,""detectors_checked"":1465337}"
        32,         0,         0,   0.032,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":62,""detectors_checked"":201248}"
       142,         0,         0,   0.125,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":248,""detectors_checked"":893038}"
       407,         0,         0,   0.344,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":647,""detectors_checked"":2559623}"
       407,         0,         0,   0.360,mwpf,ae613a6c34af8eff2d44d687d950df71d7794e0b9f2125d6bb6267885b7dd270,"{""d"":5,""p"":0.0001}","{""detection_events"":667,""detectors_checked"":2559623}"
         1,         0,         0,   0.016,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
        17,         0,         0,   0.016,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
       199,         1,         0,   0.047,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
       183,         0,         0,   0.031,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
        43,         0,         0,   0.016,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
        37,         0,         0,   0.000,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
       120,         1,         0,   0.016,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
         1,         0,         0,   0.016,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
        43,         0,         0,   0.000,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
        79,         0,         0,   0.000,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
        77,         0,         0,   0.016,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
        40,         1,         0,   0.000,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
        40,         0,         0,   0.000,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
        40,         0,         0,   0.000,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
        40,         0,         0,   0.000,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
        40,         0,         0,   0.016,mwpf,c49d63c3584482e392db676d799b3860abb8e61f1f3fececfe450d6423d38340,"{""d"":3,""p"":0.001}",
         1,         0,         0,   0.000,mwpf,0c8e1c5ecb1688bd28c971287a99bcd4ba4e5a373e36440f98cc34f19f77dad8,"{""d"":5,""p"":0.001}",
        16,         0,         0,   0.016,mwpf,0c8e1c5ecb1688bd28c971287a99bcd4ba4e5a373e36440f98cc34f19f77dad8,"{""d"":5,""p"":0.001}",
