     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        17,         0,         0,   0.016,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
         1,         0,         0,   0.016,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        16,         0,         0,   0.000,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        17,         0,         0,   0.016,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        17,         0,         0,   0.015,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
       256,         1,         0,   0.218,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        44,         0,         0,   0.032,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        17,         0,         0,   0.016,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
         1,         0,         0,   0.015,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        16,         0,         0,   0.016,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        74,         0,         0,   0.031,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
       256,         1,         0,   0.156,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
         7,         0,         0,   0.000,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        17,         1,         0,   0.016,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
       256,         1,         0,   0.156,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
         7,         0,         0,   0.000,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        37,         0,         0,   0.031,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        37,         0,         0,   0.063,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        17,         0,         0,   0.016,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
       256,         3,         0,   0.328,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        24,         0,         0,   0.016,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        20,         0,         0,   0.016,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        73,         0,         0,   0.047,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
       226,         3,         0,   0.156,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
       256,         1,         0,   0.609,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        20,         0,         0,   0.016,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        17,         0,         0,   0.016,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        29,         1,         0,   0.000,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
       190,         1,         0,   0.359,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        44,         0,         0,   0.015,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
       101,         0,         0,   0.062,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        24,         1,         0,   0.172,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        37,         0,         0,   0.016,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        17,         0,         0,   0.031,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        34,         0,         0,   0.015,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
       118,         1,         0,   0.109,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        78,         0,         0,   0.047,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        12,         0,         0,   0.016,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        61,         0,         0,   0.032,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
        78,         0,         0,   0.047,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
       256,         1,         0,    1.06,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
