     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.016,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
      2320,       170,         0,   0.016,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
      1011,        60,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
      1024,        84,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
        87,         3,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
      2223,       146,         0,   0.016,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
      1112,        73,         0,   0.016,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
      1024,        76,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
      1024,        76,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
        58,         5,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
        39,         4,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
        39,         4,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
        13,         1,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
        13,         2,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
         4,         0,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
         4,         0,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
         2,         0,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
         1,         0,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
         1,         0,         0,   0.000,pymatching,490c177da122fb20e37f45893e91667cc47e10aef142c406de5a41188f9af6d0,"{""d"":3,""p"":0.0031622776601683794}",
        17,         0,         0,   0.016,mwpf,93739a0d6d87a40a70641ca686ccc416fa543f6df419036dae5a491ca5d4b96e,"{""d"":3,""p"":0.0031622776601683794}",
