     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.016,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":2,""detectors_checked"":237}"
       272,         3,         0,   0.016,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":829,""detectors_checked"":64464}"
       273,         7,         0,   0.016,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":907,""detectors_checked"":64701}"
       273,         1,         0,   0.016,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":871,""detectors_checked"":64701}"
       273,         3,         0,   0.016,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":899,""detectors_checked"":64701}"
      1024,        22,         0,   0.078,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":3431,""detectors_checked"":242688}"
      1024,        14,         0,   0.047,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":3297,""detectors_checked"":242688}"
      1024,        13,         0,   0.062,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":3157,""detectors_checked"":242688}"
      1024,        13,         0,   0.078,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":3381,""detectors_checked"":242688}"
      1024,        24,         0,   0.047,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":3391,""detectors_checked"":242688}"
      1024,        16,         0,   0.047,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":3181,""detectors_checked"":242688}"
       179,         3,         0,   0.015,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":588,""detectors_checked"":42423}"
       179,         3,         0,   0.015,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":543,""detectors_checked"":42423}"
      1024,        20,         0,   0.047,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":3174,""detectors_checked"":242688}"
       179,         3,         0,   0.016,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":580,""detectors_checked"":42423}"
      1024,        12,         0,   0.047,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":3320,""detectors_checked"":242688}"
        44,         1,         0,   0.000,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":148,""detectors_checked"":10428}"
        45,         1,         0,   0.016,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":132,""detectors_checked"":10665}"
        34,         1,         0,   0.000,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":121,""detectors_checked"":8058}"
        34,         1,         0,   0.000,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":97,""detectors_checked"":8058}"
         6,         0,         0,   0.000,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":21,""detectors_checked"":1422}"
         6,         0,         0,   0.000,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":20,""detectors_checked"":1422}"
         3,         0,         0,   0.000,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":11,""detectors_checked"":711}"
         4,         0,         0,   0.000,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":3,""detectors_checked"":948}"
         1,         0,         0,   0.000,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":2,""detectors_checked"":237}"
         1,         0,         0,   0.000,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":1,""detectors_checked"":237}"
         1,         0,         0,   0.000,mwpf,13fa892bd7450c72d14b042a08c2354639e2061bfd8fa49f52fc30b193094c76,"{""d"":3,""p"":0.01}","{""detection_events"":1,""detectors_checked"":237}"
       273,         0,         0,   0.047,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":2554,""detectors_checked"":183183}"
         1,         0,         0,   0.015,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":10,""detectors_checked"":671}"
       273,         1,         0,   0.047,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":2537,""detectors_checked"":183183}"
         1,         0,         0,   0.016,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":11,""detectors_checked"":671}"
       272,         2,         0,   0.032,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":2574,""detectors_checked"":182512}"
       272,         1,         0,   0.047,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":2452,""detectors_checked"":182512}"
      1024,         1,         0,   0.156,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":10179,""detectors_checked"":687104}"
      1024,         2,         0,   0.125,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":9997,""detectors_checked"":687104}"
      1024,         3,         0,   0.140,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":10053,""detectors_checked"":687104}"
      1024,         1,         0,   0.125,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":10031,""detectors_checked"":687104}"
      1024,         3,         0,   0.141,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":9844,""detectors_checked"":687104}"
       179,         0,         0,   0.031,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":1628,""detectors_checked"":120109}"
      1024,         1,         0,   0.157,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":9894,""detectors_checked"":687104}"
      1024,         1,         0,   0.141,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":9706,""detectors_checked"":687104}"
       179,         0,         0,   0.031,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":1810,""detectors_checked"":120109}"
       179,         1,         0,   0.016,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":1768,""detectors_checked"":120109}"
      1024,         3,         0,   0.172,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":10009,""detectors_checked"":687104}"
        45,         0,         0,   0.000,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":437,""detectors_checked"":30195}"
        45,         0,         0,   0.000,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":441,""detectors_checked"":30195}"
        45,         0,         0,   0.016,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":471,""detectors_checked"":30195}"
        44,         0,         0,   0.016,mwpf,075b2fd9d0692051ac0ec5c923938cb9dae76aa05978b4a98f3312f707ac9ed5,"{""d"":5,""p"":0.01}","{""detection_events"":393,""detectors_checked"":29524}"
       273,         0,         0,   0.109,mwpf,d0eb7e25103fcb5a63c85406b29724f0e7038215e579f731b0b1deeaa97ff1f0,"{""d"":9,""p"":0.01}","{""detection_events"":9029,""detectors_checked"":597051}"
        17,         0,         0,   0.015,mwpf,d0eb7e25103fcb5a63c85406b29724f0e7038215e579f731b0b1deeaa97ff1f0,"{""d"":9,""p"":0.01}","{""detection_events"":579,""detectors_checked"":37179}"
       256,         0,         0,   0.125,mwpf,d0eb7e25103fcb5a63c85406b29724f0e7038215e579f731b0b1deeaa97ff1f0,"{""d"":9,""p"":0.01}","{""detection_events"":8370,""detectors_checked"":559872}"
        17,         0,         0,   0.015,mwpf,d0eb7e25103fcb5a63c85406b29724f0e7038215e579f731b0b1deeaa97ff1f0,"{""d"":9,""p"":0.01}","{""detection_events"":551,""detectors_checked"":37179}"
      1024,         0,         0,   0.422,mwpf,d0eb7e25103fcb5a63c85406b29724f0e7038215e579f731b0b1deeaa97ff1f0,"{""d"":9,""p"":0.01}","{""detection_events"":33465,""detectors_checked"":2239488}"
