     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       273,         7,         0,   0.016,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":873,""detectors_checked"":64701}"
       273,        10,         0,   0.047,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":1003,""detectors_checked"":64701}"
         1,         0,         0,   0.016,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":2,""detectors_checked"":237}"
       272,         8,         0,   0.015,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":898,""detectors_checked"":64464}"
      1024,        24,         0,   0.094,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":3454,""detectors_checked"":242688}"
      1024,        28,         0,   0.093,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":3503,""detectors_checked"":242688}"
      1024,        32,         0,   0.079,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":3478,""detectors_checked"":242688}"
      1024,        28,         0,   0.094,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":3564,""detectors_checked"":242688}"
       179,         6,         0,   0.015,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":596,""detectors_checked"":42423}"
      1024,        27,         0,   0.094,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":3550,""detectors_checked"":242688}"
       179,         5,         0,   0.031,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":578,""detectors_checked"":42423}"
      1024,        32,         0,   0.125,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":3476,""detectors_checked"":242688}"
       179,         3,         0,   0.016,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":658,""detectors_checked"":42423}"
         1,         0,         0,   0.016,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":1,""detectors_checked"":237}"
        23,         0,         0,   0.016,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":64,""detectors_checked"":5451}"
       272,         3,         0,   0.031,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":924,""detectors_checked"":64464}"
       625,        20,         0,   0.047,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":2146,""detectors_checked"":148125}"
       625,        14,         0,   0.078,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":2201,""detectors_checked"":148125}"
       347,         5,         0,   0.047,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":1221,""detectors_checked"":82239}"
         8,         0,         0,   0.000,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":26,""detectors_checked"":1896}"
       156,         8,         0,   0.016,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":635,""detectors_checked"":36972}"
        48,         0,         0,   0.000,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":169,""detectors_checked"":11376}"
       395,         9,         0,   0.047,mwpf,9e35f3b411bd3fb482f457bd3ff1079840d53b879f509c25b91f659419db2635,"{""d"":3,""p"":0.01}","{""detection_events"":1343,""detectors_checked"":93615}"
       273,         3,         0,   0.062,mwpf,6b6a145f40ea1a5636ec814951248d8319a9414e35552ea05e55012be377c19b,"{""d"":5,""p"":0.01}","{""detection_events"":2913,""detectors_checked"":183183}"
      1024,         3,         0,   0.219,mwpf,6b6a145f40ea1a5636ec814951248d8319a9414e35552ea05e55012be377c19b,"{""d"":5,""p"":0.01}","{""detection_events"":10604,""detectors_checked"":687104}"
      1024,         1,         0,   0.250,mwpf,6b6a145f40ea1a5636ec814951248d8319a9414e35552ea05e55012be377c19b,"{""d"":5,""p"":0.01}","{""detection_events"":10612,""detectors_checked"":687104}"
       179,         1,         0,   0.031,mwpf,6b6a145f40ea1a5636ec814951248d8319a9414e35552ea05e55012be377c19b,"{""d"":5,""p"":0.01}","{""detection_events"":1858,""detectors_checked"":120109}"
