     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        17,         1,         0,   0.015,mwpf,609da68891e94d82a3a3e2a2f1c30c40db5bbdf3e36b8fcd6d811a1033b3fbc3,"{""d"":3,""p"":0.01}","{""detection_events"":63,""detectors_checked"":4029}"
      1280,        13,         0,   0.047,mwpf,609da68891e94d82a3a3e2a2f1c30c40db5bbdf3e36b8fcd6d811a1033b3fbc3,"{""d"":3,""p"":0.01}","{""detection_events"":4116,""detectors_checked"":303360}"
       273,         1,         0,   0.015,mwpf,609da68891e94d82a3a3e2a2f1c30c40db5bbdf3e36b8fcd6d811a1033b3fbc3,"{""d"":3,""p"":0.01}","{""detection_events"":895,""detectors_checked"":64701}"
      1024,        14,         0,   0.063,mwpf,609da68891e94d82a3a3e2a2f1c30c40db5bbdf3e36b8fcd6d811a1033b3fbc3,"{""d"":3,""p"":0.01}","{""detection_events"":3402,""detectors_checked"":242688}"
       179,         1,         0,   0.000,mwpf,609da68891e94d82a3a3e2a2f1c30c40db5bbdf3e36b8fcd6d811a1033b3fbc3,"{""d"":3,""p"":0.01}","{""detection_events"":581,""detectors_checked"":42423}"
      1024,        16,         0,   0.032,mwpf,609da68891e94d82a3a3e2a2f1c30c40db5bbdf3e36b8fcd6d811a1033b3fbc3,"{""d"":3,""p"":0.01}","{""detection_events"":3248,""detectors_checked"":242688}"
      1024,        14,         0,   0.031,mwpf,609da68891e94d82a3a3e2a2f1c30c40db5bbdf3e36b8fcd6d811a1033b3fbc3,"{""d"":3,""p"":0.01}","{""detection_events"":3346,""detectors_checked"":242688}"
      1297,        16,         0,   0.047,mwpf,609da68891e94d82a3a3e2a2f1c30c40db5bbdf3e36b8fcd6d811a1033b3fbc3,"{""d"":3,""p"":0.01}","{""detection_events"":4214,""detectors_checked"":307389}"
       273,         1,         0,   0.016,mwpf,609da68891e94d82a3a3e2a2f1c30c40db5bbdf3e36b8fcd6d811a1033b3fbc3,"{""d"":3,""p"":0.01}","{""detection_events"":937,""detectors_checked"":64701}"
       510,        10,         0,   0.016,mwpf,609da68891e94d82a3a3e2a2f1c30c40db5bbdf3e36b8fcd6d811a1033b3fbc3,"{""d"":3,""p"":0.01}","{""detection_events"":1626,""detectors_checked"":120870}"
      1024,        20,         0,   0.031,mwpf,609da68891e94d82a3a3e2a2f1c30c40db5bbdf3e36b8fcd6d811a1033b3fbc3,"{""d"":3,""p"":0.01}","{""detection_events"":3262,""detectors_checked"":242688}"
       510,         6,         0,   0.016,mwpf,609da68891e94d82a3a3e2a2f1c30c40db5bbdf3e36b8fcd6d811a1033b3fbc3,"{""d"":3,""p"":0.01}","{""detection_events"":1685,""detectors_checked"":120870}"
        97,         0,         0,   0.000,mwpf,609da68891e94d82a3a3e2a2f1c30c40db5bbdf3e36b8fcd6d811a1033b3fbc3,"{""d"":3,""p"":0.01}","{""detection_events"":274,""detectors_checked"":22989}"
       174,         2,         0,   0.000,mwpf,609da68891e94d82a3a3e2a2f1c30c40db5bbdf3e36b8fcd6d811a1033b3fbc3,"{""d"":3,""p"":0.01}","{""detection_events"":562,""detectors_checked"":41238}"
