     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.015,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":2,""detectors_checked"":187}"
       272,         8,         0,   0.032,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":759,""detectors_checked"":50864}"
      1024,        15,         0,   0.062,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":2781,""detectors_checked"":191488}"
      1024,        13,         0,   0.078,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":2748,""detectors_checked"":191488}"
       179,         3,         0,   0.000,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":457,""detectors_checked"":33473}"
       273,         2,         0,   0.031,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":706,""detectors_checked"":51051}"
         1,         0,         0,   0.016,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":2,""detectors_checked"":187}"
       625,        11,         0,   0.062,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":1682,""detectors_checked"":116875}"
       272,         5,         0,   0.015,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":794,""detectors_checked"":50864}"
       625,         9,         0,   0.063,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":1669,""detectors_checked"":116875}"
      1024,        12,         0,   0.110,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":2811,""detectors_checked"":191488}"
         1,         1,         0,   0.015,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":2,""detectors_checked"":187}"
      1024,        18,         0,   0.078,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":2802,""detectors_checked"":191488}"
       272,         5,         0,   0.016,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":670,""detectors_checked"":50864}"
       402,         4,         0,   0.046,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":1059,""detectors_checked"":75174}"
       402,         7,         0,   0.031,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":962,""detectors_checked"":75174}"
       176,         1,         0,   0.016,mwpf,cbe3c32ddf39bb734c13632c6843c160748dc4abc5795f0e0c44eec0517a207d,"{""d"":3,""p"":0.01}","{""detection_events"":461,""detectors_checked"":32912}"
