     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     10000,         8,         0,   0.000,pymatching,5d4eda14ffd2acb9bdeaf562cbbd64650a3dcbdc807e71c856ab5b7a2022a49e,"{""d"":3,""p"":0.001,""r"":9}",
      4369,        32,         0,   0.016,pymatching,4b59a69a74ece0b9bf4d2768c1f9d85fd2e9cb0dc87378ba57fbbb1db7437603,"{""d"":3,""p"":0.0030823992397451434,""r"":9}",
      5631,        48,         0,   0.000,pymatching,4b59a69a74ece0b9bf4d2768c1f9d85fd2e9cb0dc87378ba57fbbb1db7437603,"{""d"":3,""p"":0.0030823992397451434,""r"":9}",
     10000,       238,         0,   0.000,pymatching,a1d7463bf80008b7803a6382ffb3d4fb7c90050470d7ad5688759432e28bf98d,"{""d"":3,""p"":0.0054116952654646375,""r"":9}",
       273,        11,         0,   0.015,pymatching,e5cb40c4b5d91c3016a817a6fa13b6f7e2bf6cdb0bf656d5d44b0da285263ea5,"{""d"":3,""p"":0.009501185073181439,""r"":9}",
     10000,        28,         0,   0.000,pymatching,c1a919ee43fecb0af7838bd60b7870506564094b43a2b82810ad79c4440d4861,"{""d"":3,""p"":0.0017556762912750014,""r"":9}",
      9727,       581,         0,   0.000,pymatching,e5cb40c4b5d91c3016a817a6fa13b6f7e2bf6cdb0bf656d5d44b0da285263ea5,"{""d"":3,""p"":0.009501185073181439,""r"":9}",
       273,       100,         0,   0.016,pymatching,950715ee5f370a542a30725dfc9a79232379ba935c8d06511c0d50aebb45a321,"{""d"":3,""p"":0.029286445646252372,""r"":9}",
      4369,       632,         0,   0.016,pymatching,851a9209d363180055fa23192c52a4e0591408ea3f5b68aa0d83d9b7afdbfe26,"{""d"":3,""p"":0.016681005372000592,""r"":9}",
      5631,       851,         0,   0.000,pymatching,851a9209d363180055fa23192c52a4e0591408ea3f5b68aa0d83d9b7afdbfe26,"{""d"":3,""p"":0.016681005372000592,""r"":9}",
      4096,      1232,         0,   0.015,pymatching,950715ee5f370a542a30725dfc9a79232379ba935c8d06511c0d50aebb45a321,"{""d"":3,""p"":0.029286445646252372,""r"":9}",
      1297,       598,         0,   0.000,pymatching,a5b9c6562688a8dbb306f988e8c6776cbca95c79c7c8026657a6502c5649af92,"{""d"":3,""p"":0.051417518276839276,""r"":9}",
      1024,       491,         0,   0.016,pymatching,a5b9c6562688a8dbb306f988e8c6776cbca95c79c7c8026657a6502c5649af92,"{""d"":3,""p"":0.051417518276839276,""r"":9}",
       273,       132,         0,   0.016,pymatching,dcf6336d3fb482d57ae12477ca966ba8dfd58a904b97e29928183939716108cb,"{""d"":3,""p"":0.15848931924611134,""r"":9}",
      2321,      1143,         0,   0.016,pymatching,2709f31dd92080bc1ab18ca1f37adc4456ae811c49e78939e7115f453df7c354,"{""d"":3,""p"":0.09027251779484578,""r"":9}",
      4096,      1271,         0,   0.032,pymatching,950715ee5f370a542a30725dfc9a79232379ba935c8d06511c0d50aebb45a321,"{""d"":3,""p"":0.029286445646252372,""r"":9}",
      1024,       519,         0,   0.016,pymatching,dcf6336d3fb482d57ae12477ca966ba8dfd58a904b97e29928183939716108cb,"{""d"":3,""p"":0.15848931924611134,""r"":9}",
      1024,       527,         0,   0.016,pymatching,2709f31dd92080bc1ab18ca1f37adc4456ae811c49e78939e7115f453df7c354,"{""d"":3,""p"":0.09027251779484578,""r"":9}",
      1535,       467,         0,   0.000,pymatching,950715ee5f370a542a30725dfc9a79232379ba935c8d06511c0d50aebb45a321,"{""d"":3,""p"":0.029286445646252372,""r"":9}",
      4096,      1839,         0,   0.031,pymatching,a5b9c6562688a8dbb306f988e8c6776cbca95c79c7c8026657a6502c5649af92,"{""d"":3,""p"":0.051417518276839276,""r"":9}",
      3072,      1505,         0,   0.031,pymatching,2709f31dd92080bc1ab18ca1f37adc4456ae811c49e78939e7115f453df7c354,"{""d"":3,""p"":0.09027251779484578,""r"":9}",
      3072,      1564,         0,   0.031,pymatching,dcf6336d3fb482d57ae12477ca966ba8dfd58a904b97e29928183939716108cb,"{""d"":3,""p"":0.15848931924611134,""r"":9}",
      4369,         1,         0,   0.016,pymatching,b55b7d88a8aa79cd445cc2ecf7ee1f92a887f2f02d92a7d3ede0f556ef961d3d,"{""d"":5,""p"":0.001,""r"":15}",
      3583,      1648,         0,   0.032,pymatching,a5b9c6562688a8dbb306f988e8c6776cbca95c79c7c8026657a6502c5649af92,"{""d"":3,""p"":0.051417518276839276,""r"":9}",
      5631,         2,         0,   0.000,pymatching,b55b7d88a8aa79cd445cc2ecf7ee1f92a887f2f02d92a7d3ede0f556ef961d3d,"{""d"":5,""p"":0.001,""r"":15}",
      2048,      1031,         0,   0.031,pymatching,2709f31dd92080bc1ab18ca1f37adc4456ae811c49e78939e7115f453df7c354,"{""d"":3,""p"":0.09027251779484578,""r"":9}",
      2048,      1025,         0,   0.031,pymatching,dcf6336d3fb482d57ae12477ca966ba8dfd58a904b97e29928183939716108cb,"{""d"":3,""p"":0.15848931924611134,""r"":9}",
      1535,       746,         0,   0.016,pymatching,2709f31dd92080bc1ab18ca1f37adc4456ae811c49e78939e7115f453df7c354,"{""d"":3,""p"":0.09027251779484578,""r"":9}",
      4369,         8,         0,   0.015,pymatching,942b2cf1e68fc485f0e9260fd73c038df46e105d441bb598c8f3d32c97644234,"{""d"":5,""p"":0.0030823992397451434,""r"":15}",
      8465,         3,         0,   0.015,pymatching,d224b14cd379bf319364387efb7d5cb0d6c1182912896fa119464cb73c2488d9,"{""d"":5,""p"":0.0017556762912750014,""r"":15}",
      1535,         1,         0,   0.000,pymatching,d224b14cd379bf319364387efb7d5cb0d6c1182912896fa119464cb73c2488d9,"{""d"":5,""p"":0.0017556762912750014,""r"":15}",
      3583,      1779,         0,   0.031,pymatching,dcf6336d3fb482d57ae12477ca966ba8dfd58a904b97e29928183939716108cb,"{""d"":3,""p"":0.15848931924611134,""r"":9}",
        17,         1,         0,   0.016,pymatching,f0fc8d4cdc1159af8a41feeb16f42a92955338115f91c1c99f25b92d7c6e240a,"{""d"":5,""p"":0.0054116952654646375,""r"":15}",
      4096,        14,         0,   0.016,pymatching,942b2cf1e68fc485f0e9260fd73c038df46e105d441bb598c8f3d32c97644234,"{""d"":5,""p"":0.0030823992397451434,""r"":15}",
      1535,         2,         0,   0.000,pymatching,942b2cf1e68fc485f0e9260fd73c038df46e105d441bb598c8f3d32c97644234,"{""d"":5,""p"":0.0030823992397451434,""r"":15}",
      3328,        53,         0,   0.016,pymatching,f0fc8d4cdc1159af8a41feeb16f42a92955338115f91c1c99f25b92d7c6e240a,"{""d"":5,""p"":0.0054116952654646375,""r"":15}",
       273,        63,         0,   0.015,pymatching,4829de9c6d5dd95eeaacb7661ccfeccc567cde4152fb6ede9ff98a4c7f5479a1,"{""d"":5,""p"":0.016681005372000592,""r"":15}",
      1297,        85,         0,   0.015,pymatching,627d66904d97c89686f7569a8c25932e1303c7c445b081f272aac6c957c09009,"{""d"":5,""p"":0.009501185073181439,""r"":15}",
      5120,        62,         0,   0.031,pymatching,f0fc8d4cdc1159af8a41feeb16f42a92955338115f91c1c99f25b92d7c6e240a,"{""d"":5,""p"":0.0054116952654646375,""r"":15}",
      1024,        53,         0,   0.016,pymatching,627d66904d97c89686f7569a8c25932e1303c7c445b081f272aac6c957c09009,"{""d"":5,""p"":0.009501185073181439,""r"":15}",
       273,       130,         0,   0.016,pymatching,b83214699386bfa47918ed25339b0de1575c9e423b81bfcaf5ed7146041699d6,"{""d"":5,""p"":0.029286445646252372,""r"":15}",
      1024,       235,         0,   0.016,pymatching,4829de9c6d5dd95eeaacb7661ccfeccc567cde4152fb6ede9ff98a4c7f5479a1,"{""d"":5,""p"":0.016681005372000592,""r"":15}",
      1535,        20,         0,   0.000,pymatching,f0fc8d4cdc1159af8a41feeb16f42a92955338115f91c1c99f25b92d7c6e240a,"{""d"":5,""p"":0.0054116952654646375,""r"":15}",
      1024,       225,         0,   0.031,pymatching,4829de9c6d5dd95eeaacb7661ccfeccc567cde4152fb6ede9ff98a4c7f5479a1,"{""d"":5,""p"":0.016681005372000592,""r"":15}",
      3072,       200,         0,   0.031,pymatching,627d66904d97c89686f7569a8c25932e1303c7c445b081f272aac6c957c09009,"{""d"":5,""p"":0.009501185073181439,""r"":15}",
      1024,       473,         0,   0.062,pymatching,b83214699386bfa47918ed25339b0de1575c9e423b81bfcaf5ed7146041699d6,"{""d"":5,""p"":0.029286445646252372,""r"":15}",
      2048,       123,         0,   0.031,pymatching,627d66904d97c89686f7569a8c25932e1303c7c445b081f272aac6c957c09009,"{""d"":5,""p"":0.009501185073181439,""r"":15}",
       273,       154,         0,   0.031,pymatching,3c0f88fbc7d12abfe9699ef32dabc83ab99d51ad831852bfbe215c54de81337e,"{""d"":5,""p"":0.051417518276839276,""r"":15}",
      2048,       481,         0,   0.047,pymatching,4829de9c6d5dd95eeaacb7661ccfeccc567cde4152fb6ede9ff98a4c7f5479a1,"{""d"":5,""p"":0.016681005372000592,""r"":15}",
      2559,       143,         0,   0.032,pymatching,627d66904d97c89686f7569a8c25932e1303c7c445b081f272aac6c957c09009,"{""d"":5,""p"":0.009501185073181439,""r"":15}",
      1024,       445,         0,   0.047,pymatching,b83214699386bfa47918ed25339b0de1575c9e423b81bfcaf5ed7146041699d6,"{""d"":5,""p"":0.029286445646252372,""r"":15}",
      2048,       452,         0,   0.047,pymatching,4829de9c6d5dd95eeaacb7661ccfeccc567cde4152fb6ede9ff98a4c7f5479a1,"{""d"":5,""p"":0.016681005372000592,""r"":15}",
      1024,       506,         0,   0.063,pymatching,3c0f88fbc7d12abfe9699ef32dabc83ab99d51ad831852bfbe215c54de81337e,"{""d"":5,""p"":0.051417518276839276,""r"":15}",
       273,       133,         0,   0.016,pymatching,69d77790dcb198422054deb4806c6d98e513c395d9cf770d570bddc4d4fb1a2b,"{""d"":5,""p"":0.09027251779484578,""r"":15}",
      1024,       467,         0,   0.047,pymatching,b83214699386bfa47918ed25339b0de1575c9e423b81bfcaf5ed7146041699d6,"{""d"":5,""p"":0.029286445646252372,""r"":15}",
      3072,       692,         0,   0.062,pymatching,4829de9c6d5dd95eeaacb7661ccfeccc567cde4152fb6ede9ff98a4c7f5479a1,"{""d"":5,""p"":0.016681005372000592,""r"":15}",
      1024,       489,         0,   0.078,pymatching,3c0f88fbc7d12abfe9699ef32dabc83ab99d51ad831852bfbe215c54de81337e,"{""d"":5,""p"":0.051417518276839276,""r"":15}",
       511,       105,         0,   0.016,pymatching,4829de9c6d5dd95eeaacb7661ccfeccc567cde4152fb6ede9ff98a4c7f5479a1,"{""d"":5,""p"":0.016681005372000592,""r"":15}",
      1024,       457,         0,   0.063,pymatching,b83214699386bfa47918ed25339b0de1575c9e423b81bfcaf5ed7146041699d6,"{""d"":5,""p"":0.029286445646252372,""r"":15}",
