     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.016,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
       272,        76,         0,   0.093,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
         1,         1,         0,   0.016,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
        17,         5,         0,   0.000,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
       272,        67,         0,   0.093,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
       256,        80,         0,   0.078,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
       273,        68,         0,   0.109,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
      1024,       273,         0,   0.329,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
      1024,       278,         0,   0.344,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
      1024,       274,         0,   0.235,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
      1024,       255,         0,   0.359,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
       179,        41,         0,   0.046,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
      1024,       240,         0,   0.391,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
       135,        34,         0,   0.031,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
       165,        48,         0,   0.047,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
      1024,       265,         0,   0.328,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
       135,        30,         0,   0.031,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
      1024,       262,         0,   0.313,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
        44,        14,         0,   0.032,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
       903,       226,         0,   0.266,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
       135,        29,         0,   0.047,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
        11,         1,         0,   0.000,mwpf,8eaee1ad6467ebe940b21e9937c0fa35d235f4bd566ceff9d591c6e21d0b4050,"{""d"":3,""p"":0.05011872336272722}",
