     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        17,         4,         0,   0.016,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":261,""detectors_checked"":4029}"
        17,         6,         0,   0.047,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":268,""detectors_checked"":4029}"
       256,        81,         0,   0.062,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3671,""detectors_checked"":60672}"
       128,        37,         0,   0.031,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":1880,""detectors_checked"":30336}"
       273,        83,         0,   0.062,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3973,""detectors_checked"":64701}"
       273,        82,         0,   0.062,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3986,""detectors_checked"":64701}"
        17,         5,         0,   0.015,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":246,""detectors_checked"":4029}"
      1024,       324,         0,   0.235,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14656,""detectors_checked"":242688}"
      1024,       329,         0,   0.235,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14590,""detectors_checked"":242688}"
       256,        83,         0,   0.063,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3666,""detectors_checked"":60672}"
         1,         0,         0,   0.000,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14,""detectors_checked"":237}"
       498,       156,         0,   0.093,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":7102,""detectors_checked"":118026}"
      1024,       308,         0,   0.219,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14458,""detectors_checked"":242688}"
       272,        89,         0,   0.078,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3923,""detectors_checked"":64464}"
        12,         1,         0,   0.000,mwpf,8dd19683ff2b912efaf035421fcc233fa3feb40fdeb0d8922643841ce442722f,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":176,""detectors_checked"":2844}"
