     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.016,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":11,""detectors_checked"":237}"
         1,         0,         0,   0.016,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":10,""detectors_checked"":237}"
        17,         3,         0,   0.015,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":195,""detectors_checked"":4029}"
       272,        73,         0,   0.109,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3828,""detectors_checked"":64464}"
       272,        64,         0,   0.093,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3811,""detectors_checked"":64464}"
       256,        80,         0,   0.078,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3625,""detectors_checked"":60672}"
         1,         0,         0,   0.000,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":21,""detectors_checked"":237}"
       273,        65,         0,   0.062,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3856,""detectors_checked"":64701}"
       272,        60,         0,   0.062,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3715,""detectors_checked"":64464}"
      1024,       243,         0,   0.266,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14183,""detectors_checked"":242688}"
      1024,       252,         0,   0.297,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14456,""detectors_checked"":242688}"
      1024,       254,         0,   0.313,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14109,""detectors_checked"":242688}"
       370,       102,         0,   0.109,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":5216,""detectors_checked"":87690}"
       370,        93,         0,   0.094,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":5147,""detectors_checked"":87690}"
       273,        76,         0,   0.093,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3814,""detectors_checked"":64701}"
       370,        90,         0,   0.109,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":5065,""detectors_checked"":87690}"
      1024,       259,         0,   0.328,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14174,""detectors_checked"":242688}"
      1024,       267,         0,   0.360,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14133,""detectors_checked"":242688}"
       370,        88,         0,   0.078,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":5076,""detectors_checked"":87690}"
        14,         1,         0,   0.016,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":186,""detectors_checked"":3318}"
       356,        93,         0,   0.078,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":4977,""detectors_checked"":84372}"
      1024,       265,         0,   0.282,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14516,""detectors_checked"":242688}"
        62,        18,         0,   0.000,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":877,""detectors_checked"":14694}"
        62,        12,         0,   0.000,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":834,""detectors_checked"":14694}"
        62,        21,         0,   0.015,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":893,""detectors_checked"":14694}"
        62,        19,         0,   0.031,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":826,""detectors_checked"":14694}"
        51,        11,         0,   0.016,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":716,""detectors_checked"":12087}"
        62,        13,         0,   0.031,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":869,""detectors_checked"":14694}"
         7,         2,         0,   0.000,mwpf,057ad5306e98709ce64d9f9912c04939f1895acf2d5e90eff68c9f9fecbbb37e,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":87,""detectors_checked"":1659}"
        17,         4,         0,   0.031,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":716,""detectors_checked"":11407}"
        17,         2,         0,   0.031,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":682,""detectors_checked"":11407}"
        17,         4,         0,   0.063,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":710,""detectors_checked"":11407}"
        17,         0,         0,   0.031,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":664,""detectors_checked"":11407}"
       256,        53,         0,   0.516,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10585,""detectors_checked"":171776}"
       128,        25,         0,   0.234,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":5234,""detectors_checked"":85888}"
         1,         0,         0,   0.015,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":37,""detectors_checked"":671}"
        16,         3,         0,   0.063,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":625,""detectors_checked"":10736}"
        17,         4,         0,   0.063,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":713,""detectors_checked"":11407}"
       256,        43,         0,   0.781,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10539,""detectors_checked"":171776}"
       256,        46,         0,   0.485,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10530,""detectors_checked"":171776}"
       128,        18,         0,   0.297,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":5237,""detectors_checked"":85888}"
       256,        57,         0,   0.641,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10634,""detectors_checked"":171776}"
       128,        21,         0,   0.250,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":5326,""detectors_checked"":85888}"
       256,        40,         0,   0.750,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10396,""detectors_checked"":171776}"
       256,        50,         0,   0.531,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10586,""detectors_checked"":171776}"
       256,        49,         0,   0.750,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10584,""detectors_checked"":171776}"
       256,        50,         0,   0.688,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10532,""detectors_checked"":171776}"
       256,        49,         0,   0.797,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10482,""detectors_checked"":171776}"
       256,        52,         0,   0.985,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10721,""detectors_checked"":171776}"
       256,        46,         0,    1.06,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10779,""detectors_checked"":171776}"
       256,        48,         0,   0.625,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10546,""detectors_checked"":171776}"
       256,        48,         0,   0.640,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10631,""detectors_checked"":171776}"
       256,        53,         0,   0.625,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10726,""detectors_checked"":171776}"
       256,        44,         0,   0.906,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10386,""detectors_checked"":171776}"
       256,        54,         0,    1.11,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10451,""detectors_checked"":171776}"
       256,        49,         0,   0.718,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10434,""detectors_checked"":171776}"
       256,        70,         0,   0.578,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10720,""detectors_checked"":171776}"
       256,        47,         0,   0.735,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10720,""detectors_checked"":171776}"
       256,        50,         0,   0.453,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10444,""detectors_checked"":171776}"
       256,        65,         0,   0.984,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10788,""detectors_checked"":171776}"
       256,        42,         0,   0.922,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10466,""detectors_checked"":171776}"
       256,        47,         0,   0.719,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10483,""detectors_checked"":171776}"
       256,        49,         0,   0.766,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10833,""detectors_checked"":171776}"
       256,        46,         0,   0.563,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10522,""detectors_checked"":171776}"
       256,        56,         0,   0.593,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10474,""detectors_checked"":171776}"
       256,        60,         0,   0.563,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10744,""detectors_checked"":171776}"
       256,        48,         0,   0.594,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10767,""detectors_checked"":171776}"
       256,        45,         0,   0.547,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10643,""detectors_checked"":171776}"
       242,        53,         0,   0.406,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":9911,""detectors_checked"":162382}"
       256,        39,         0,   0.485,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10555,""detectors_checked"":171776}"
       256,        49,         0,   0.563,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10632,""detectors_checked"":171776}"
       114,        20,         0,   0.266,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":4637,""detectors_checked"":76494}"
        62,         8,         0,   0.109,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":2557,""detectors_checked"":41602}"
        52,         8,         0,   0.156,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":2077,""detectors_checked"":34892}"
        52,        13,         0,   0.171,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":2107,""detectors_checked"":34892}"
        62,        11,         0,   0.157,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":2532,""detectors_checked"":41602}"
       256,        51,         0,   0.484,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10683,""detectors_checked"":171776}"
        52,         8,         0,   0.110,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":2165,""detectors_checked"":34892}"
       256,        57,         0,   0.703,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":10476,""detectors_checked"":171776}"
        65,        11,         0,   0.109,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":2616,""detectors_checked"":43615}"
        46,        11,         0,   0.063,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":1889,""detectors_checked"":30866}"
        72,         9,         0,   0.110,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":2903,""detectors_checked"":48312}"
        72,        14,         0,   0.110,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":2956,""detectors_checked"":48312}"
       123,        20,         0,   0.250,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":5138,""detectors_checked"":82533}"
        52,        11,         0,   0.172,mwpf,8db74b3b139e6bbef84f2ed6769c00a8ffb276a9d505613b235ac5178a2111c2,"{""d"":5,""p"":0.05011872336272722}","{""detection_events"":2152,""detectors_checked"":34892}"
         1,         0,         0,   0.016,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":114,""detectors_checked"":2187}"
        16,         3,         0,   0.516,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":2183,""detectors_checked"":34992}"
        16,         2,         0,   0.328,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":2169,""detectors_checked"":34992}"
        17,         4,         0,   0.157,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":2325,""detectors_checked"":37179}"
         1,         0,         0,   0.047,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":144,""detectors_checked"":2187}"
        32,         1,         0,   0.343,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":4404,""detectors_checked"":69984}"
         8,         2,         0,   0.062,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":1033,""detectors_checked"":17496}"
        16,         0,         0,   0.578,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":2229,""detectors_checked"":34992}"
        32,         3,         0,   0.704,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":4523,""detectors_checked"":69984}"
        16,         0,         0,   0.703,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":2226,""detectors_checked"":34992}"
        16,         0,         0,   0.203,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":2191,""detectors_checked"":34992}"
         1,         0,         0,   0.015,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":150,""detectors_checked"":2187}"
        64,         9,         0,    1.38,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":8845,""detectors_checked"":139968}"
        32,         5,         0,   0.937,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":4360,""detectors_checked"":69984}"
        16,         3,         0,   0.516,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":2194,""detectors_checked"":34992}"
        16,         4,         0,   0.140,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":2162,""detectors_checked"":34992}"
         1,         0,         0,   0.062,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":153,""detectors_checked"":2187}"
         8,         0,         0,   0.204,mwpf,e274b27e932d98dac9bdad1319d9f10e7f70855b4986c64e89f844ea496935a9,"{""d"":9,""p"":0.05011872336272722}","{""detection_events"":1079,""detectors_checked"":17496}"
