     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         1,         0,   0.015,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":16,""detectors_checked"":237}"
         1,         1,         0,   0.047,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":19,""detectors_checked"":237}"
         1,         0,         0,   0.016,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":8,""detectors_checked"":237}"
        17,         5,         0,   0.016,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":191,""detectors_checked"":4029}"
       272,        80,         0,   0.078,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3795,""detectors_checked"":64464}"
       136,        33,         0,   0.062,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":1829,""detectors_checked"":32232}"
       272,        79,         0,   0.094,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3669,""detectors_checked"":64464}"
       256,        60,         0,   0.078,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3459,""detectors_checked"":60672}"
         1,         0,         0,   0.016,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14,""detectors_checked"":237}"
       272,        76,         0,   0.094,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3796,""detectors_checked"":64464}"
      1024,       285,         0,   0.343,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14399,""detectors_checked"":242688}"
      1024,       281,         0,   0.344,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14267,""detectors_checked"":242688}"
      1024,       247,         0,   0.391,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14466,""detectors_checked"":242688}"
      1024,       270,         0,   0.407,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14229,""detectors_checked"":242688}"
      1024,       251,         0,   0.343,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14251,""detectors_checked"":242688}"
       370,       103,         0,   0.109,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":4940,""detectors_checked"":87690}"
       273,        79,         0,   0.078,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":3762,""detectors_checked"":64701}"
       368,        98,         0,   0.141,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":5149,""detectors_checked"":87216}"
       506,       124,         0,   0.172,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":6847,""detectors_checked"":119922}"
       370,        86,         0,   0.171,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":5140,""detectors_checked"":87690}"
       370,        89,         0,   0.141,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":5143,""detectors_checked"":87690}"
      1024,       254,         0,   0.281,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":14329,""detectors_checked"":242688}"
        62,        19,         0,   0.016,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":821,""detectors_checked"":14694}"
        60,        16,         0,   0.031,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":779,""detectors_checked"":14220}"
        62,        16,         0,   0.031,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":885,""detectors_checked"":14694}"
        52,        14,         0,   0.015,mwpf,5f38a71742d45abd65788401fba45ad17ab958ef641f0dadc8caa4a915febed2,"{""d"":3,""p"":0.05011872336272722}","{""detection_events"":656,""detectors_checked"":12324}"
