     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2321,       762,         0,   0.016,pymatching,68771571963291fd5c645d60bd97a31d4091ab0a2642d0c4a88ddbc03754b8fc,"{""d"":3,""p"":0.0199526231496888}","{""detection_events"":12475,""detectors_checked"":550077}"
       179,        52,         0,   0.000,pymatching,68771571963291fd5c645d60bd97a31d4091ab0a2642d0c4a88ddbc03754b8fc,"{""d"":3,""p"":0.0199526231496888}","{""detection_events"":918,""detectors_checked"":42423}"
      1297,       401,         0,   0.016,pymatching,68771571963291fd5c645d60bd97a31d4091ab0a2642d0c4a88ddbc03754b8fc,"{""d"":3,""p"":0.0199526231496888}","{""detection_events"":6779,""detectors_checked"":307389}"
      2321,       725,         0,   0.000,pymatching,68771571963291fd5c645d60bd97a31d4091ab0a2642d0c4a88ddbc03754b8fc,"{""d"":3,""p"":0.0199526231496888}","{""detection_events"":12417,""detectors_checked"":550077}"
       179,        65,         0,   0.000,pymatching,68771571963291fd5c645d60bd97a31d4091ab0a2642d0c4a88ddbc03754b8fc,"{""d"":3,""p"":0.0199526231496888}","{""detection_events"":928,""detectors_checked"":42423}"
      1297,       418,         0,   0.016,pymatching,68771571963291fd5c645d60bd97a31d4091ab0a2642d0c4a88ddbc03754b8fc,"{""d"":3,""p"":0.0199526231496888}","{""detection_events"":6979,""detectors_checked"":307389}"
      1024,       324,         0,   0.000,pymatching,68771571963291fd5c645d60bd97a31d4091ab0a2642d0c4a88ddbc03754b8fc,"{""d"":3,""p"":0.0199526231496888}","{""detection_events"":5555,""detectors_checked"":242688}"
       578,       160,         0,   0.000,pymatching,68771571963291fd5c645d60bd97a31d4091ab0a2642d0c4a88ddbc03754b8fc,"{""d"":3,""p"":0.0199526231496888}","{""detection_events"":3067,""detectors_checked"":136986}"
        23,         5,         0,   0.016,pymatching,68771571963291fd5c645d60bd97a31d4091ab0a2642d0c4a88ddbc03754b8fc,"{""d"":3,""p"":0.0199526231496888}","{""detection_events"":120,""detectors_checked"":5451}"
       602,       203,         0,   0.000,pymatching,68771571963291fd5c645d60bd97a31d4091ab0a2642d0c4a88ddbc03754b8fc,"{""d"":3,""p"":0.0199526231496888}","{""detection_events"":3173,""detectors_checked"":142674}"
