     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.016,mwpf,cc3ae72c9d3cea15719eb87b445f060971497e904830e470c51639221b929a5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":13,""detectors_checked"":237}"
       273,        17,         0,   0.031,mwpf,cc3ae72c9d3cea15719eb87b445f060971497e904830e470c51639221b929a5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":3088,""detectors_checked"":64701}"
       272,        14,         0,   0.046,mwpf,cc3ae72c9d3cea15719eb87b445f060971497e904830e470c51639221b929a5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":3078,""detectors_checked"":64464}"
       273,        12,         0,   0.047,mwpf,cc3ae72c9d3cea15719eb87b445f060971497e904830e470c51639221b929a5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":2886,""detectors_checked"":64701}"
       273,        18,         0,   0.031,mwpf,cc3ae72c9d3cea15719eb87b445f060971497e904830e470c51639221b929a5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":3176,""detectors_checked"":64701}"
      1024,        53,         0,   0.125,mwpf,cc3ae72c9d3cea15719eb87b445f060971497e904830e470c51639221b929a5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":11663,""detectors_checked"":242688}"
      1024,        54,         0,   0.125,mwpf,cc3ae72c9d3cea15719eb87b445f060971497e904830e470c51639221b929a5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":11538,""detectors_checked"":242688}"
      1024,        72,         0,   0.141,mwpf,cc3ae72c9d3cea15719eb87b445f060971497e904830e470c51639221b929a5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":11831,""detectors_checked"":242688}"
      1024,        62,         0,   0.141,mwpf,cc3ae72c9d3cea15719eb87b445f060971497e904830e470c51639221b929a5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":11680,""detectors_checked"":242688}"
      1024,        67,         0,   0.110,mwpf,cc3ae72c9d3cea15719eb87b445f060971497e904830e470c51639221b929a5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":11374,""detectors_checked"":242688}"
