     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       273,        16,         0,   0.031,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":2975,""detectors_checked"":64701}"
       273,        15,         0,   0.047,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":3119,""detectors_checked"":64701}"
       273,        29,         0,   0.047,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":3106,""detectors_checked"":64701}"
       273,        12,         0,   0.063,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":3091,""detectors_checked"":64701}"
      1024,        55,         0,   0.156,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":11836,""detectors_checked"":242688}"
      1024,        84,         0,   0.141,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":11643,""detectors_checked"":242688}"
      1024,        65,         0,   0.157,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":11594,""detectors_checked"":242688}"
      1024,        62,         0,   0.140,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":11438,""detectors_checked"":242688}"
      1024,        44,         0,   0.110,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":11685,""detectors_checked"":242688}"
      1024,        62,         0,   0.094,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":11716,""detectors_checked"":242688}"
       179,        11,         0,   0.000,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":2016,""detectors_checked"":42423}"
      1024,        57,         0,   0.078,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":11613,""detectors_checked"":242688}"
       179,        11,         0,   0.015,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":2005,""detectors_checked"":42423}"
       179,        19,         0,   0.031,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":1945,""detectors_checked"":42423}"
      1024,        51,         0,   0.094,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":11603,""detectors_checked"":242688}"
        45,         3,         0,   0.000,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":538,""detectors_checked"":10665}"
        44,         1,         0,   0.000,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":496,""detectors_checked"":10428}"
        45,         1,         0,   0.000,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":552,""detectors_checked"":10665}"
        45,         2,         0,   0.000,mwpf,8333d214c1bf33e29b9254f7069e0b6b827cce0c69706d803c853155f9f2cc5e,"{""d"":3,""p"":0.03162277660168379}","{""detection_events"":486,""detectors_checked"":10665}"
        17,         0,         0,   0.016,mwpf,72aadd7aa2fa1a1f1265b83f514bbafacae25a3db36a9c56dee9590a5a20119c,"{""d"":5,""p"":0.03162277660168379}","{""detection_events"":579,""detectors_checked"":11407}"
       273,         5,         0,   0.157,mwpf,72aadd7aa2fa1a1f1265b83f514bbafacae25a3db36a9c56dee9590a5a20119c,"{""d"":5,""p"":0.03162277660168379}","{""detection_events"":9352,""detectors_checked"":183183}"
