     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       273,       108,         0,   0.078,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":8269,""detectors_checked"":64701}"
       273,       117,         0,   0.078,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":8459,""detectors_checked"":64701}"
       273,       111,         0,   0.078,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":8461,""detectors_checked"":64701}"
       273,       103,         0,   0.093,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":8334,""detectors_checked"":64701}"
      1024,       437,         0,   0.203,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":31098,""detectors_checked"":242688}"
      1024,       403,         0,   0.188,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":31371,""detectors_checked"":242688}"
      1024,       395,         0,   0.188,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":31219,""detectors_checked"":242688}"
      1024,       385,         0,   0.172,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":31215,""detectors_checked"":242688}"
      1024,       396,         0,   0.172,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":31243,""detectors_checked"":242688}"
       179,        66,         0,   0.016,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":5388,""detectors_checked"":42423}"
      1024,       409,         0,   0.171,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":31353,""detectors_checked"":242688}"
      1024,       439,         0,   0.171,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":31594,""detectors_checked"":242688}"
      1024,       413,         0,   0.172,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":31098,""detectors_checked"":242688}"
       179,        75,         0,   0.032,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":5472,""detectors_checked"":42423}"
        44,        16,         0,   0.015,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":1353,""detectors_checked"":10428}"
       135,        67,         0,   0.031,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":4101,""detectors_checked"":31995}"
       135,        54,         0,   0.031,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":4114,""detectors_checked"":31995}"
        44,        17,         0,   0.016,mwpf,9460210c7fa2e6b11e9f55c96bcf962abdd7f214fce51369cc76b37003432ccb,"{""d"":3,""p"":0.1}","{""detection_events"":1333,""detectors_checked"":10428}"
        17,         7,         0,   0.016,mwpf,9468a4bd1cda87514a73a9a1c282db8549fc1e7603c77a2627abbe7b569587ba,"{""d"":5,""p"":0.1}","{""detection_events"":1561,""detectors_checked"":11407}"
        17,         6,         0,   0.015,mwpf,9468a4bd1cda87514a73a9a1c282db8549fc1e7603c77a2627abbe7b569587ba,"{""d"":5,""p"":0.1}","{""detection_events"":1529,""detectors_checked"":11407}"
        17,        10,         0,   0.031,mwpf,9468a4bd1cda87514a73a9a1c282db8549fc1e7603c77a2627abbe7b569587ba,"{""d"":5,""p"":0.1}","{""detection_events"":1466,""detectors_checked"":11407}"
       256,        94,         0,   0.188,mwpf,9468a4bd1cda87514a73a9a1c282db8549fc1e7603c77a2627abbe7b569587ba,"{""d"":5,""p"":0.1}","{""detection_events"":22890,""detectors_checked"":171776}"
       256,       106,         0,   0.203,mwpf,9468a4bd1cda87514a73a9a1c282db8549fc1e7603c77a2627abbe7b569587ba,"{""d"":5,""p"":0.1}","{""detection_events"":22646,""detectors_checked"":171776}"
       273,        96,         0,   0.203,mwpf,9468a4bd1cda87514a73a9a1c282db8549fc1e7603c77a2627abbe7b569587ba,"{""d"":5,""p"":0.1}","{""detection_events"":24221,""detectors_checked"":183183}"
       256,       101,         0,   0.188,mwpf,9468a4bd1cda87514a73a9a1c282db8549fc1e7603c77a2627abbe7b569587ba,"{""d"":5,""p"":0.1}","{""detection_events"":22876,""detectors_checked"":171776}"
